seq,isolate,csource,r.sem,r,t.r.sem,t.r,lag.sem,lag,maxOD.sem,maxOD
160,2.4.Ent,Dlactate,0.006443186,0.132105868,5.137180647,17.70833333,5.33661321,13.60460213,0.010057833,0.523598787
160,2.4.Ent,succinate,0.013706038,0.106968599,2.583333333,3.75,1.340356228,1.759420022,0.177318417,0.477547947
165,2.4.Rlt,Dlactate,0.075769268,0.55974526,0,1.166666667,0.094653796,0.491390544,0.012500303,0.435933499
165,2.4.Rlt,succinate,0.012139549,0.139710009,0,1.166666667,0.03667536,-0.012571874,0.079351771,0.284275905
169,2.4.Cit,Dlactate,0.053621243,0.252603584,2.661779376,4.208333333,1.500063544,2.306399819,0.015240911,0.623819727
169,2.4.Cit,succinate,0.030429899,0.171953184,0.5,5.666666667,0.649330764,3.808703111,0.034295493,0.476866349
259,1.2.A.1,Dlactate,0.031830893,0.365248324,0.636014063,5.375,0.443969033,3.19570942,0.027454738,0.565276342
259,1.2.A.1,succinate,0.010703048,0.346913145,0.166666667,6.833333333,0.300638266,4.716545621,0.017815325,0.502606317
267,1.4.A.1,Dlactate,0.066994049,0.665692724,0.39086798,2.5,0.215055254,1.235203212,0.055994984,0.781776715
267,1.4.A.1,succinate,0.111349468,0.808287673,0.666666667,7,0.842274039,5.978940237,0.010188894,0.543194783
269,1.4.A.3,Dlactate,0.011967686,0.214427743,0.19245009,4.833333333,0.098796588,1.802706602,0.017913619,0.398169303
269,1.4.A.3,succinate,0.038540045,0.30958546,0.416666667,23.91666667,0.813379467,21.16104178,0.009274134,0.25464975
270,1.4.B.4,Dlactate,0.020215698,0.432896169,0.291666667,4.125,0.190030985,2.454108386,0.014489752,0.458973462
270,1.4.B.4,succinate,0.048132019,0.36430381,0.083333333,6.083333333,0.316879735,4.413784135,0.001420088,0.401313579
272,1.6.A.1,Dlactate,0.071994752,0.475561944,0.562628586,5.458333333,0.667450289,3.615573692,0.027768118,0.67939568
272,1.6.A.1,succinate,0.059070942,0.573233669,0.083333333,5.083333333,0.333856885,3.993339665,0.018376225,0.404676894
