"InocRep","Relative_Abundance","Family"
"C12R1",0.019786218,"Moraxellaceae"
"C12R2",0.052080964,"Moraxellaceae"
"C6R4",0.000227428,"Moraxellaceae"
"C12R4",0.026154196,"Moraxellaceae"
"C12R5",0.012281101,"Moraxellaceae"
"C7R6",0.000227428,"Moraxellaceae"
"C8R6",0.000227428,"Moraxellaceae"
"C9R7",0.000227428,"Moraxellaceae"
"C11R1",0.000454856,"Moraxellaceae"
"C12R1",0.00204685,"Moraxellaceae"
"C8R2",0.000682283,"Moraxellaceae"
"C10R2",0.000227428,"Moraxellaceae"
"C11R2",0.348419377,"Moraxellaceae"
"C12R2",0.002501706,"Moraxellaceae"
"C8R3",0.000227428,"Moraxellaceae"
"C9R3",0.000682283,"Moraxellaceae"
"C11R3",0.000682283,"Moraxellaceae"
"C12R3",0.000682283,"Moraxellaceae"
"C9R4",0.000454856,"Moraxellaceae"
"C11R4",0.000227428,"Moraxellaceae"
"C12R4",0.000682283,"Moraxellaceae"
"C2R1",0.031157607,"Aeromonadaceae"
"C12R1",0.000682283,"Aeromonadaceae"
"C10R2",0.000682283,"Aeromonadaceae"
"C11R2",0.262906527,"Aeromonadaceae"
"C12R2",0.000682283,"Aeromonadaceae"
"C2R3",0.001364567,"Aeromonadaceae"
"C10R3",0.001591995,"Aeromonadaceae"
"C12R3",0.000909711,"Aeromonadaceae"
"C2R4",0.000454856,"Aeromonadaceae"
"C11R4",0.002956561,"Aeromonadaceae"
"C12R4",0.000227428,"Aeromonadaceae"
"C10R5",0.001364567,"Aeromonadaceae"
"C2R6",0.023197635,"Aeromonadaceae"
"C1R8",0.000227428,"Aeromonadaceae"
"C2R8",0.046622697,"Aeromonadaceae"
"C2R8",0.002501706,"Aeromonadaceae"
"C11R1",0.007277689,"Pseudomonadaceae"
"C11R3",0.016602229,"Pseudomonadaceae"
"C11R4",0.149192631,"Pseudomonadaceae"
"C11R5",0.005458267,"Pseudomonadaceae"
"C10R6",0.000227428,"Pseudomonadaceae"
"C11R6",0.008869684,"Pseudomonadaceae"
"C7R3",0.004548556,"Enterobacteriaceae"
"C1R1",0.197862179,"Enterobacteriaceae"
"C11R1",0.06072322,"Enterobacteriaceae"
"C1R2",0.41096202,"Enterobacteriaceae"
"C7R2",0.012963384,"Enterobacteriaceae"
"C1R3",0.317944053,"Enterobacteriaceae"
"C7R3",0.050716398,"Enterobacteriaceae"
"C11R3",0.119399591,"Enterobacteriaceae"
"C1R4",0.025471913,"Enterobacteriaceae"
"C2R4",0.076643166,"Enterobacteriaceae"
"C7R4",0.074596316,"Enterobacteriaceae"
"C8R4",0.002729134,"Enterobacteriaceae"
"C1R5",0.455992722,"Enterobacteriaceae"
"C11R5",0.12053673,"Enterobacteriaceae"
"C1R6",0.057084376,"Enterobacteriaceae"
"C2R6",0.115078463,"Enterobacteriaceae"
"C3R6",0.000454856,"Enterobacteriaceae"
"C7R6",0.004775984,"Enterobacteriaceae"
"C8R6",0.008187401,"Enterobacteriaceae"
"C11R6",0.047759836,"Enterobacteriaceae"
"C1R7",0.067091199,"Enterobacteriaceae"
"C3R7",0.000909711,"Enterobacteriaceae"
"C7R7",0.001137139,"Enterobacteriaceae"
"C1R8",0.128496702,"Enterobacteriaceae"
"C2R8",0.180350239,"Enterobacteriaceae"
"C8R8",0.000909711,"Enterobacteriaceae"
"C1R3",0.004321128,"Enterobacteriaceae"
"C1R7",0.007277689,"Enterobacteriaceae"
"C1R1",0.314305208,"Enterobacteriaceae"
"C2R1",0.234478053,"Enterobacteriaceae"
"C8R1",0.168523994,"Enterobacteriaceae"
"C11R1",0.004548556,"Enterobacteriaceae"
"C1R2",0.011826245,"Enterobacteriaceae"
"C10R2",0.77029793,"Enterobacteriaceae"
"C11R2",0.034569024,"Enterobacteriaceae"
"C1R3",0.420059131,"Enterobacteriaceae"
"C2R3",0.450534455,"Enterobacteriaceae"
"C3R3",0.014327951,"Enterobacteriaceae"
"C7R3",0.012281101,"Enterobacteriaceae"
"C8R3",0.351830794,"Enterobacteriaceae"
"C10R3",0.844666818,"Enterobacteriaceae"
"C12R3",0.003638845,"Enterobacteriaceae"
"C1R4",0.843302252,"Enterobacteriaceae"
"C2R4",0.256083693,"Enterobacteriaceae"
"C3R4",0.012735956,"Enterobacteriaceae"
"C7R4",0.001364567,"Enterobacteriaceae"
"C9R4",0.03093018,"Enterobacteriaceae"
"C10R4",0.827837162,"Enterobacteriaceae"
"C11R4",0.733682056,"Enterobacteriaceae"
"C1R5",0.025244485,"Enterobacteriaceae"
"C3R5",0.022970207,"Enterobacteriaceae"
"C8R5",0.272231067,"Enterobacteriaceae"
"C10R5",0.687286786,"Enterobacteriaceae"
"C11R5",0.004548556,"Enterobacteriaceae"
"C1R6",0.504889698,"Enterobacteriaceae"
"C2R6",0.188765067,"Enterobacteriaceae"
"C8R6",0.01137139,"Enterobacteriaceae"
"C10R6",0.875142142,"Enterobacteriaceae"
"C11R6",0.288833295,"Enterobacteriaceae"
"C1R7",0.414373436,"Enterobacteriaceae"
"C10R7",0.008869684,"Enterobacteriaceae"
"C11R7",0.26881965,"Enterobacteriaceae"
"C12R7",0.012281101,"Enterobacteriaceae"
"C1R8",0.38003184,"Enterobacteriaceae"
"C2R8",0.029110757,"Enterobacteriaceae"
"C8R8",0.009779395,"Enterobacteriaceae"
"C11R1",0.021378212,"Enterobacteriaceae"
"C12R3",0.042756425,"Enterobacteriaceae"
"C3R6",0.002274278,"Enterobacteriaceae"
"C8R6",0.000909711,"Enterobacteriaceae"
"C8R8",0.001364567,"Enterobacteriaceae"
"C8R1",0.012963384,"Enterobacteriaceae"
"C6R5",0.003638845,"Enterobacteriaceae"
"C6R6",0.037298158,"Enterobacteriaceae"
"C3R1",0.83215829,"Enterobacteriaceae"
"C4R1",0.56538549,"Enterobacteriaceae"
"C5R1",0.775756197,"Enterobacteriaceae"
"C6R1",0.537866727,"Enterobacteriaceae"
"C7R1",0.804412099,"Enterobacteriaceae"
"C9R1",0.674323402,"Enterobacteriaceae"
