"cs","family","SangerID","gr_max"
"lactate","Enterobacteriaceae",160,0.132105868
"succinate","Enterobacteriaceae",160,0.106968599
"glucose","Enterobacteriaceae",160,1.034093855
"acetate","Enterobacteriaceae",160,0.303360504
"succinate","Enterobacteriaceae",165,0.139710009
"glucose","Enterobacteriaceae",165,0.825327962
"acetate","Enterobacteriaceae",165,0.369916523
"lactate","Enterobacteriaceae",165,0.55974526
"succinate","Enterobacteriaceae",169,0.171953184
"lactate","Enterobacteriaceae",169,0.252603584
"glucose","Enterobacteriaceae",169,0.883095596
"acetate","Enterobacteriaceae",169,0
"lactate","Enterobacteriaceae",259,0.365248324
"acetate","Enterobacteriaceae",259,0.156454013
"glucose","Enterobacteriaceae",259,1.19818558
"succinate","Enterobacteriaceae",259,0.346913145
"acetate","Pseudomonadaceae",267,0.311733074
"glucose","Pseudomonadaceae",267,0.681387066
"lactate","Pseudomonadaceae",267,0.665692724
"succinate","Pseudomonadaceae",267,0.808287673
"lactate","Enterobacteriaceae",269,0.214427743
"succinate","Enterobacteriaceae",269,0.30958546
"glucose","Enterobacteriaceae",269,0.65998484
"acetate","Enterobacteriaceae",269,0.12844312
"lactate","Enterobacteriaceae",270,0.432896169
"acetate","Enterobacteriaceae",270,0.178918201
"succinate","Enterobacteriaceae",270,0.36430381
"glucose","Enterobacteriaceae",270,0.936462651
"acetate","Pseudomonadaceae",272,0.23865306
"glucose","Pseudomonadaceae",272,0.250700647
"lactate","Pseudomonadaceae",272,0.475561944
"succinate","Pseudomonadaceae",272,0.573233669
"succinate","Enterobacteriaceae",273,0.185080099
"glucose","Enterobacteriaceae",273,0.544503311
"acetate","Enterobacteriaceae",273,0.149242198
"lactate","Enterobacteriaceae",273,0.260543175
"lactate","Pseudomonadaceae",274,0.80500595
"acetate","Pseudomonadaceae",274,0.17933414
"succinate","Pseudomonadaceae",274,0.332867786
"glucose","Pseudomonadaceae",274,0.360285844
"glucose","Enterobacteriaceae",276,0.953891358
"lactate","Enterobacteriaceae",276,0.264759247
"acetate","Enterobacteriaceae",276,0.105925458
"succinate","Enterobacteriaceae",276,0.187368996
"acetate","Enterobacteriaceae",277,0
"succinate","Enterobacteriaceae",277,0.30406754
"glucose","Enterobacteriaceae",277,0.760386082
"lactate","Enterobacteriaceae",277,0.457081993
"acetate","Enterobacteriaceae",278,0
"lactate","Enterobacteriaceae",278,0.318719026
"succinate","Enterobacteriaceae",278,0.327112839
"glucose","Enterobacteriaceae",278,0.943012421
"glucose","Enterobacteriaceae",280,0.592003509
"succinate","Enterobacteriaceae",280,0.250512847
"acetate","Enterobacteriaceae",280,0.100784398
"lactate","Enterobacteriaceae",280,0.341668615
"acetate","Enterobacteriaceae",283,0.335159464
"succinate","Enterobacteriaceae",283,0.174618935
"glucose","Enterobacteriaceae",283,0.813883816
"lactate","Enterobacteriaceae",283,0.193327671
"succinate","Enterobacteriaceae",284,0.478158134
"acetate","Enterobacteriaceae",284,0.281689874
"lactate","Enterobacteriaceae",284,0.494176941
"glucose","Enterobacteriaceae",284,0.317415729
"succinate","Enterobacteriaceae",286,0.243130077
"acetate","Enterobacteriaceae",286,0.172389063
"lactate","Enterobacteriaceae",286,0.217412082
"glucose","Enterobacteriaceae",286,0.76997035
"acetate","Enterobacteriaceae",287,0.164726519
