"time_hours","variable","Family","SangerID","value"
0,"pH","Pseudomonadaceae",326,7.000763368
0,"pH","Enterobacteriaceae",327,6.985988638
0,"pH","Enterobacteriaceae",332,6.87777165
0,"pH","Pseudomonadaceae",335,6.985988638
0,"pH","Moraxellaceae",336,6.841021978
0,"pH","Enterobacteriaceae",338,6.972338269
0,"pH","Enterobacteriaceae",340,7.004944103
0,"pH","Enterobacteriaceae",461,7.004944103
0,"pH","Enterobacteriaceae",280,6.857808019
0,"pH","Aeromonadaceae",343,6.953037794
0,"pH","Enterobacteriaceae",344,7.000763368
0,"pH","Enterobacteriaceae",345,7.002884355
0,"pH","Enterobacteriaceae",346,6.824319251
0,"pH","Enterobacteriaceae",348,6.755733617
0,"pH","Pseudomonadaceae",350,7.006945251
0,"pH","Moraxellaceae",453,7.000763368
0,"pH","Moraxellaceae",454,6.713388491
0,"pH","Enterobacteriaceae",458,6.933952033
0,"pH","Enterobacteriaceae",460,7.004944103
0,"pH","Pseudomonadaceae",352,6.953037794
0,"pH","Enterobacteriaceae",356,7.000763368
0,"pH","Pseudomonadaceae",462,6.669082233
0,"pH","Enterobacteriaceae",358,6.985988638
0,"pH","Enterobacteriaceae",360,6.856513528
0,"pH","Enterobacteriaceae",259,6.741614033
0,"pH","Enterobacteriaceae",364,6.972338269
0,"pH","Pseudomonadaceae",428,6.933952033
0,"pH","Pseudomonadaceae",432,6.985988638
0,"pH","Pseudomonadaceae",267,6.908801003
0,"pH","Enterobacteriaceae",269,6.953037794
0,"pH","Enterobacteriaceae",270,6.874690642
0,"pH","Enterobacteriaceae",435,6.985988638
0,"pH","Pseudomonadaceae",272,6.915059278
0,"pH","Enterobacteriaceae",273,6.915059278
0,"pH","Pseudomonadaceae",274,6.933952033
0,"pH","Enterobacteriaceae",438,7.004944103
0,"pH","Enterobacteriaceae",439,7.002884355
0,"pH","Enterobacteriaceae",283,6.933952033
0,"pH","Enterobacteriaceae",284,6.943469461
0,"pH","Enterobacteriaceae",286,6.943469461
0,"pH","Enterobacteriaceae",287,6.89168356
