"Transfer","Rep_num","Kingdom","Phylum","Class","Order","Genus","Abundance","esv_id","Abund_log"
18,4,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.340971799,"A",-0.467281539028479
18,4,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",0.000179167,"P",-3.74674197814304
18,5,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",9.34e-05,"P",-4.02965312376991
18,5,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.281388111,"A",-0.550694255999256
18,6,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.188955512,"A",-0.723640434806671
18,7,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",5.94e-05,"P",-4.22621355501881
18,7,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.302011696,"A",-0.519976237804763
18,8,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",0.05258402,"P",-1.27914621554649
18,8,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.000729851,"A",-3.13676579259551
18,9,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.484635469,"A",-0.314584804339497
18,10,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.003545955,"A",-2.45026678012136
18,11,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.430446498,"A",-0.36608082113794
18,11,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",0.000405644,"P",-3.39185494341635
18,12,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",0.000971896,"P",-3.01238020528217
18,12,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.195108123,"A",-0.709724649105538
18,13,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.003339724,"A",-2.47628942247879
18,13,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",0.000659699,"P",-3.18065417424123
18,14,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",0.138160765,"P",-0.85961527073331
18,15,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.004679123,"A",-2.32983553836859
18,15,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",0.142713241,"P",-0.845535730974632
18,16,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.42052279,"A",-0.376210462879051
18,16,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonas",0.000173569,"P",-3.76052783867074
18,17,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenes",0.189958618,"A",-0.721340998687604
