"Transfer","Rep_num","esv_id","Abundance"
18,14,"P",0.138160765
18,15,"P",0.142713241
18,20,"P",0.102624787
18,44,"P",0.129222944
18,45,"P",0.119381149
18,63,"P",0.146893506
18,77,"P",0.143092589
18,2,"P",0.084064171
1,2,"P",0.004816073
13,14,"P",0.069553241
13,44,"P",0.08725284
11,14,"P",0.005462638
11,44,"P",0.05057158
13,15,"P",0.081877006
13,45,"P",0.009116838
10,14,"P",0.00314616
10,44,"P",0.032571429
11,15,"P",0.041355749
11,45,"P",0.001097695
10,15,"P",0.029122003
10,45,"P",0.000681306
13,20,"P",0.062627119
11,20,"P",0.057080414
13,2,"P",0.038456782
13,63,"P",0.068656298
10,20,"P",0.05189637
11,2,"P",0.015099619
11,63,"P",0.014871205
17,2,"P",0.058606368
17,63,"P",0.073878751
12,77,"P",0.000688276
17,77,"P",0.058568598
12,14,"P",0.016507609
12,44,"P",0.076848249
17,14,"P",0.04135724
17,44,"P",0.053234809
12,15,"P",0.096166116
12,45,"P",0.003430532
17,15,"P",0.044124655
17,45,"P",0.053625005
12,20,"P",0.067407841
17,20,"P",0.022687286
12,2,"P",0.068690096
12,63,"P",0.087160076
1,63,"P",0.002119392
3,14,"P",0.005030257
3,44,"P",0.008764421
2,14,"P",0.003431124
2,44,"P",0.004475221
3,15,"P",0.004612382
1,14,"P",0.00385715
1,44,"P",0.002601734
2,15,"P",0.001981492
1,15,"P",0.003758864
1,45,"P",0.002299926
3,20,"P",0.010504091
2,20,"P",0.00493473
3,2,"P",0.008694655
3,63,"P",0.005948739
1,20,"P",0.003117393
2,2,"P",0.001471629
3,77,"P",0.002551925
10,2,"P",0.005547914
10,63,"P",0.002449081
4,2,"P",0.007933502
7,77,"P",7.08e-05
9,14,"P",0.000932682
9,44,"P",0.005893186
8,14,"P",0.002734295
8,44,"P",0.009130167
9,15,"P",0.017240625
9,45,"P",0.000253386
7,44,"P",0.002002447
8,15,"P",0.024788258
8,45,"P",0.000230187
7,15,"P",0.004309439
9,20,"P",0.008931294
8,20,"P",0.015925184
9,2,"P",0.003398307
9,63,"P",0.000560263
7,20,"P",0.001553049
8,2,"P",0.002591266
8,63,"P",0.001041265
14,2,"P",0.04091469
14,63,"P",0.055811383
15,77,"P",0.014026112
14,77,"P",0.003330183
16,14,"P",0.137430447
16,44,"P",0.152124041
15,14,"P",0.090001066
15,44,"P",0.087982787
16,15,"P",0.135736801
16,45,"P",0.141357575
14,14,"P",0.07815642
14,44,"P",0.104105169
15,15,"P",0.033122842
15,45,"P",0.089950862
14,15,"P",0.064133758
14,45,"P",0.045501551
16,20,"P",0.030319993
15,20,"P",0.030930843
16,2,"P",0.064498215
14,20,"P",0.03857327
15,2,"P",0.032714001
15,63,"P",0.07006208
4,63,"P",0.004464771
6,14,"P",0.04772066
