"Transfer","repb","dila_ord","dilp_ord","outcome"
3,1,"-","-","K"
3,2,"-","-","K"
3,1,"-","-1","K+P"
3,2,"-","-1","K+P"
3,1,"-","-2","K+P"
3,2,"-","-2","K+P"
3,1,"-","-3","K+P"
3,2,"-","-3","K+P"
3,1,"-","-4","K+P"
3,2,"-","-4","K+P"
3,1,"-","0","K+P"
3,2,"-","0","K+P"
3,1,"-1","-","K+A"
3,2,"-1","-","K+A"
3,1,"-1","-1","K+A"
3,2,"-1","-1","K+A"
3,1,"-1","-2","K+A"
3,2,"-1","-2","K+A"
3,1,"-1","-3","K+A"
3,2,"-1","-3","K+A"
3,1,"-1","-4","K+A"
3,2,"-1","-4","K+A"
3,1,"-1","0","K+P+A"
3,2,"-1","0","K+P"
3,1,"-2","-","K+A"
3,2,"-2","-","K+A"
3,1,"-2","-1","K+P+A"
3,2,"-2","-1","K+P+A"
3,1,"-2","-2","K+A"
3,2,"-2","-2","K+A"
3,1,"-2","-3","K+A"
3,2,"-2","-3","K+A"
3,1,"-2","-4","K+A"
3,2,"-2","-4","K+A"
3,1,"-2","0","K+P"
3,2,"-2","0","K+P"
3,1,"-3","-","K+A"
3,2,"-3","-","K+A"
3,1,"-3","-1","K+P"
3,2,"-3","-1","K+P"
3,1,"-3","-2","K+P+A"
3,2,"-3","-2","K+P+A"
3,1,"-3","-3","K+P+A"
3,2,"-3","-3","K+P+A"
3,1,"-3","-4","K+P+A"
3,2,"-3","-4","K+P+A"
3,1,"-3","0","K+P"
3,2,"-3","0","K+P"
3,1,"-4","-","K+A"
3,2,"-4","-","K+A"
3,1,"-4","-1","K+P"
3,2,"-4","-1","K+P"
3,1,"-4","-2","K+P+A"
3,2,"-4","-2","K+P+A"
3,1,"-4","-3","K+P+A"
3,2,"-4","-3","K+P"
3,1,"-4","-4","K+P+A"
3,2,"-4","-4","K+P+A"
3,1,"-4","0","K+P"
3,2,"-4","0","K+P"
3,1,"0","-","K+A"
3,2,"0","-","K+A"
3,1,"0","-1","K+A"
3,2,"0","-1","K+A"
3,1,"0","-2","K+A"
3,2,"0","-2","K+A"
3,1,"0","-3","K+A"
3,2,"0","-3","K+A"
3,1,"0","-4","K+A"
3,2,"0","-4","K+A"
3,1,"0","0","K+A"
3,2,"0","0","K+A"
8,1,"-","-","K"
8,2,"-","-","K"
8,1,"-","-1","K+P"
8,2,"-","-1","K+P"
8,1,"-","-2","K+P"
8,2,"-","-2","K+P"
8,1,"-","-3","K+P"
8,2,"-","-3","K+P"
8,1,"-","-4","K+P"
8,2,"-","-4","K+P"
8,1,"-","0","K+P"
8,2,"-","0","K+P"
8,1,"-1","-","K+A"
8,2,"-1","-","K+A"
8,1,"-1","-1","K+A"
8,2,"-1","-1","K+A"
8,1,"-1","-2","K+A"
8,2,"-1","-2","K+A"
8,1,"-1","-3","K+A"
8,2,"-1","-3","K+A"
8,1,"-1","-4","K+A"
8,2,"-1","-4","K+A"
8,1,"-1","0","K+P+A"
8,2,"-1","0","K+P"
8,1,"-2","-","K+A"
8,2,"-2","-","K+A"
8,1,"-2","-1","K+A"
8,2,"-2","-1","K+A"
8,1,"-2","-2","K+A"
8,2,"-2","-2","K+A"
8,1,"-2","-3","K+A"
8,2,"-2","-3","K+A"
8,1,"-2","-4","K+A"
8,2,"-2","-4","K+A"
8,1,"-2","0","K+P"
8,2,"-2","0","K+P"
8,1,"-3","-","K+A"
8,2,"-3","-","K+A"
8,1,"-3","-1","K+P"
8,2,"-3","-1","K+P"
8,1,"-3","-2","K+A"
8,2,"-3","-2","K+A"
8,1,"-3","-3","K+A"
8,2,"-3","-3","K+A"
8,1,"-3","-4","K+A"
8,2,"-3","-4","K+A"
8,1,"-3","0","K+P"
8,2,"-3","0","K+P"
8,1,"-4","-","K+A"
8,2,"-4","-","K+A"
8,1,"-4","-1","K+P"
8,2,"-4","-1","K+P"
8,1,"-4","-2","K+P"
8,2,"-4","-2","K+P+A"
8,1,"-4","-3","K+A"
8,2,"-4","-3","K+P+A"
8,1,"-4","-4","K+A"
8,2,"-4","-4","K+A"
8,1,"-4","0","K+P"
8,2,"-4","0","K+P"
8,1,"0","-","K+A"
8,2,"0","-","K+A"
8,1,"0","-1","K+A"
8,2,"0","-1","K+A"
8,1,"0","-2","K+A"
8,2,"0","-2","K+A"
8,1,"0","-3","K+A"
8,2,"0","-3","K+A"
8,1,"0","-4","K+A"
8,2,"0","-4","K+A"
8,1,"0","0","K+A"
8,2,"0","0","K+A"
12,1,"-","-","K"
12,2,"-","-","K"
12,1,"-","-1","K+P"
12,2,"-","-1","K+P"
12,1,"-","-2","K+P"
12,2,"-","-2","K+P"
12,1,"-","-3","K+P"
12,2,"-","-3","K+P"
12,1,"-","-4","K+P"
12,2,"-","-4","K+P"
12,1,"-","0","K+P"
12,2,"-","0","K+P"
12,1,"-1","-","K+A"
12,2,"-1","-","K+A"
12,1,"-1","-1","K+A"
12,2,"-1","-1","K+A"
12,1,"-1","-2","K+A"
12,2,"-1","-2","K+A"
12,1,"-1","-3","K+A"
12,2,"-1","-3","K+A"
12,1,"-1","-4","K+A"
12,2,"-1","-4","K+A"
12,1,"-1","0","K+A"
12,2,"-1","0","K+P"
12,1,"-2","-","K+A"
12,2,"-2","-","K+A"
12,1,"-2","-1","K+A"
12,2,"-2","-1","K+A"
