"Transfer","dila_ord","dilp_ord","Species","Rel_abund","repb"
"0","-4","0","K",0.499975001249937,1
"0","-4","-1","K",0.909008271975275,1
"0","-4","-2","K",0.99000099000099,1
"0","-4","-3","K",0.998901208670463,1
"0","-4","-4","K",0.999800039992002,1
"0","-4","-","K",0.999900009999,1
"0","-4","0","A",4.99975001249937e-05,1
"0","-4","-1","A",9.09008271975275e-05,1
"0","-4","-2","A",9.9000099000099e-05,1
"0","-4","-3","A",9.98901208670463e-05,1
"0","-4","-4","A",9.99800039992002e-05,1
"0","-4","-","A",9.99900009999e-05,1
"0","-4","0","P",0.499975001249937,1
"0","-4","-1","P",0.0909008271975275,1
"0","-4","-2","P",0.0099000099000099,1
"0","-4","-3","P",0.000998901208670463,1
"0","-4","-4","P",9.99800039992002e-05,1
"0","-4","-","P",0,1
"0","-4","0","K",0.499975001249937,2
"0","-4","-1","K",0.909008271975275,2
"0","-4","-2","K",0.99000099000099,2
"0","-4","-3","K",0.998901208670463,2
"0","-4","-4","K",0.999800039992002,2
"0","-4","-","K",0.999900009999,2
"0","-4","0","A",4.99975001249937e-05,2
"0","-4","-1","A",9.09008271975275e-05,2
"0","-4","-2","A",9.9000099000099e-05,2
"0","-4","-3","A",9.98901208670463e-05,2
"0","-4","-4","A",9.99800039992002e-05,2
"0","-4","-","A",9.99900009999e-05,2
"0","-4","0","P",0.499975001249937,2
"0","-4","-1","P",0.0909008271975275,2
"0","-4","-2","P",0.0099000099000099,2
"0","-4","-3","P",0.000998901208670463,2
"0","-4","-4","P",9.99800039992002e-05,2
"0","-4","-","P",0,2
"3","-4","-","K",0.627306273062731,1
"3","-4","-","K",0.764705882352941,2
"3","-4","-1","K",0.91304347826087,1
"3","-4","-1","K",0.949656750572082,2
"3","-4","-2","K",0.920583468395462,1
"3","-4","-2","K",0.906318082788671,2
"3","-4","-3","K",0.925858951175407,1
"3","-4","-3","K",0.94018691588785,2
"3","-4","-4","K",0.72967032967033,1
"3","-4","-4","K",0.656126482213439,2
"3","-4","0","K",0.903267973856209,1
"3","-4","0","K",0.927152317880795,2
"8","-4","-","K",0.653985507246377,1
"8","-4","-","K",0.689059500959693,2
"8","-4","-1","K",0.975308641975309,1
"8","-4","-1","K",0.97196261682243,2
"8","-4","-2","K",0.971479500891266,1
"8","-4","-2","K",0.953225806451613,2
"8","-4","-3","K",0.582338902147971,1
"8","-4","-3","K",0.748267898383372,2
"8","-4","-4","K",0.262948207171315,1
"8","-4","-4","K",0.141327623126338,2
"8","-4","0","K",0.958871915393655,1
"8","-4","0","K",0.974842767295597,2
"12","-4","-","K",0.225352112676056,1
"12","-4","-","K",0.239316239316239,2
"12","-4","-1","K",0.973518284993695,1
"12","-4","-1","K",0.953358208955224,2
"12","-4","-2","K",0.937586685159501,1
"12","-4","-2","K",0.178343949044586,2
"12","-4","-3","K",0.303225806451613,1
"12","-4","-3","K",0.672922252010724,2
"12","-4","-4","K",0.103202846975089,1
"12","-4","-4","K",0.196629213483146,2
"12","-4","0","K",0.930535455861071,1
"12","-4","0","K",0.959334565619224,2
"3","-4","-","P",0,1
"3","-4","-","P",0,2
"3","-4","-1","P",0.0869565217391304,1
"3","-4","-1","P",0.0503432494279176,2
"3","-4","-2","P",0.0729335494327391,1
"3","-4","-2","P",0.0915032679738562,2
"3","-4","-3","P",0.054249547920434,1
"3","-4","-3","P",0.0598130841121495,2
"3","-4","-4","P",0.0307692307692308,1
"3","-4","-4","P",0.0217391304347826,2
"3","-4","0","P",0.0967320261437909,1
"3","-4","0","P",0.0728476821192053,2
"8","-4","-","P",0,1
"8","-4","-","P",0,2
"8","-4","-1","P",0.0246913580246914,1
"8","-4","-1","P",0.0280373831775701,2
"8","-4","-2","P",0.0285204991087344,1
"8","-4","-2","P",0.0370967741935484,2
"8","-4","-3","P",0,1
"8","-4","-3","P",0.0115473441108545,2
"8","-4","-4","P",0,1
"8","-4","-4","P",0,2
"8","-4","0","P",0.0411280846063455,1
"8","-4","0","P",0.0251572327044025,2
"12","-4","-","P",0,1
"12","-4","-","P",0,2
"12","-4","-1","P",0.0264817150063052,1
"12","-4","-1","P",0.0466417910447761,2
"12","-4","-2","P",0.0624133148404993,1
"12","-4","-2","P",0,2
"12","-4","-3","P",0,1
"12","-4","-3","P",0,2
"12","-4","-4","P",0,1
"12","-4","-4","P",0,2
"12","-4","0","P",0.0694645441389291,1
"12","-4","0","P",0.0406654343807763,2
"3","-4","-","A",0.372693726937269,1
"3","-4","-","A",0.235294117647059,2
"3","-4","-1","A",0,1
"3","-4","-1","A",0,2
"3","-4","-2","A",0.00648298217179903,1
"3","-4","-2","A",0.00217864923747277,2
"3","-4","-3","A",0.0198915009041591,1
"3","-4","-3","A",0,2
"3","-4","-4","A",0.23956043956044,1
"3","-4","-4","A",0.322134387351779,2
"3","-4","0","A",0,1
"3","-4","0","A",0,2
"8","-4","-","A",0.346014492753623,1
"8","-4","-","A",0.310940499040307,2
"8","-4","-1","A",0,1
"8","-4","-1","A",0,2
"8","-4","-2","A",0,1
"8","-4","-2","A",0.00967741935483871,2
"8","-4","-3","A",0.417661097852029,1
"8","-4","-3","A",0.240184757505774,2
"8","-4","-4","A",0.737051792828685,1
"8","-4","-4","A",0.858672376873662,2
"8","-4","0","A",0,1
"8","-4","0","A",0,2
"12","-4","-","A",0.774647887323944,1
"12","-4","-","A",0.760683760683761,2
"12","-4","-1","A",0,1
"12","-4","-1","A",0,2
"12","-4","-2","A",0,1
"12","-4","-2","A",0.821656050955414,2
"12","-4","-3","A",0.696774193548387,1
"12","-4","-3","A",0.327077747989276,2
"12","-4","-4","A",0.896797153024911,1
"12","-4","-4","A",0.803370786516854,2
"12","-4","0","A",0,1
"12","-4","0","A",0,2
