"Treatment","Transfer","Rep_num","Family","Abundance"
"Global_migration",18,81,"Enterobacteriaceae",0.011000822
"Parent_migration",18,71,"Enterobacteriaceae",0.012106799
"Global_migration",18,69,"Enterobacteriaceae",0.019030852
"Parent_migration",18,11,"Enterobacteriaceae",0.045317675
"Parent_migration",18,6,"Enterobacteriaceae",0.371686021
"Global_migration",18,30,"Enterobacteriaceae",0.02719566
"Global_migration",18,61,"Enterobacteriaceae",0.138097482
"Global_migration",18,57,"Enterobacteriaceae",0.049468818
"Parent_migration",18,2,"Enterobacteriaceae",0.021983162
"Global_migration",18,83,"Enterobacteriaceae",0.158862979
"Parent_migration",18,82,"Enterobacteriaceae",0.17642535
"Parent_migration",18,42,"Enterobacteriaceae",0.196269864
"Global_migration",18,40,"Enterobacteriaceae",0.202426282
"Parent_migration",18,4,"Enterobacteriaceae",0.316831154
"Global_migration",18,2,"Enterobacteriaceae",0.111866428
"Parent_migration",18,19,"Enterobacteriaceae",0.076299925
"Parent_migration",18,48,"Enterobacteriaceae",0.540991407
"Parent_migration",18,37,"Enterobacteriaceae",0.60734097
"Global_migration",18,14,"Enterobacteriaceae",0.178945604
"Parent_migration",18,61,"Enterobacteriaceae",0.425087794
"Global_migration",18,10,"Enterobacteriaceae",0.104804653
"Global_migration",18,56,"Enterobacteriaceae",0.047869008
"Parent_migration",18,24,"Enterobacteriaceae",0.260043042
"Global_migration",18,3,"Enterobacteriaceae",0.03507125
"Parent_migration",18,84,"Enterobacteriaceae",0.624108408
"Parent_migration",18,30,"Enterobacteriaceae",0.317295813
"Parent_migration",18,20,"Enterobacteriaceae",0.39561659
"Parent_migration",18,55,"Enterobacteriaceae",0.630181581
"Parent_migration",18,89,"Enterobacteriaceae",0.577343711
"Global_migration",18,38,"Enterobacteriaceae",0.079806763
"Global_migration",18,92,"Enterobacteriaceae",0.576034397
"Global_migration",18,12,"Enterobacteriaceae",0.100432135
"Parent_migration",18,51,"Enterobacteriaceae",0.627571893
"Parent_migration",18,12,"Enterobacteriaceae",0.483673305
"Global_migration",18,88,"Enterobacteriaceae",0.036545215
"Global_migration",18,55,"Enterobacteriaceae",0.143051881
"Parent_migration",18,68,"Enterobacteriaceae",0.509106333
"Global_migration",18,1,"Enterobacteriaceae",0.160563916
"Global_migration",18,37,"Enterobacteriaceae",0.011825406
"Parent_migration",18,8,"Enterobacteriaceae",0.388590732
"Parent_migration",18,67,"Enterobacteriaceae",0.762833066
"Parent_migration",18,5,"Enterobacteriaceae",0.028741737
"Global_migration",18,19,"Enterobacteriaceae",0.022997402
"Parent_migration",18,9,"Enterobacteriaceae",0.071744101
"Global_migration",18,16,"Enterobacteriaceae",0.144154686
"Global_migration",18,11,"Enterobacteriaceae",0.121611618
"Global_migration",18,87,"Enterobacteriaceae",0.141078672
"Global_migration",18,4,"Enterobacteriaceae",0.427657462
"Parent_migration",18,64,"Enterobacteriaceae",0.200036467
"Parent_migration",18,87,"Enterobacteriaceae",0.105825864
"Parent_migration",18,53,"Enterobacteriaceae",0.52297464
"Global_migration",18,60,"Enterobacteriaceae",0.157463007
"Parent_migration",18,13,"Enterobacteriaceae",0.378271529
"Parent_migration",18,72,"Enterobacteriaceae",0.438501229
"Parent_migration",18,54,"Enterobacteriaceae",0.516036275
"Global_migration",18,43,"Enterobacteriaceae",0.222650429
"Global_migration",18,62,"Enterobacteriaceae",0.06824856
"Parent_migration",18,44,"Enterobacteriaceae",0.565069133
"Global_migration",18,27,"Enterobacteriaceae",0.013387877
"Parent_migration",18,49,"Enterobacteriaceae",0.603699097
"Global_migration",18,20,"Enterobacteriaceae",0.129057307
"Parent_migration",18,16,"Enterobacteriaceae",0.23822585
"Parent_migration",18,27,"Enterobacteriaceae",0.460782496
"Parent_migration",18,92,"Enterobacteriaceae",0.137627085
"Parent_migration",18,57,"Enterobacteriaceae",0.330473588
"Parent_migration",18,22,"Enterobacteriaceae",0.048676056
"Parent_migration",18,75,"Enterobacteriaceae",0.910854195
"Parent_migration",18,76,"Enterobacteriaceae",0.345516336
"Global_migration",18,35,"Enterobacteriaceae",0.368881597
"Global_migration",18,29,"Enterobacteriaceae",0.049228119
"Parent_migration",18,36,"Enterobacteriaceae",0.240426051
"Global_migration",18,49,"Enterobacteriaceae",0.233625058
"Parent_migration",18,65,"Enterobacteriaceae",0.104113163
"Global_migration",18,72,"Enterobacteriaceae",0.012328693
"Global_migration",18,18,"Enterobacteriaceae",0.062075298
"Global_migration",18,9,"Enterobacteriaceae",0.167839394
"Parent_migration",18,26,"Enterobacteriaceae",0.396175025
"Parent_migration",18,15,"Enterobacteriaceae",0.334606771
"Global_migration",18,44,"Enterobacteriaceae",0.190082235
"Parent_migration",18,85,"Enterobacteriaceae",0.1640526
"Parent_migration",18,21,"Enterobacteriaceae",0.372096985
"Global_migration",18,46,"Enterobacteriaceae",0.370893092
"Parent_migration",18,40,"Enterobacteriaceae",0.648664424
"Global_migration",18,86,"Enterobacteriaceae",0.047317744
"Parent_migration",18,69,"Enterobacteriaceae",0.022470408
"Global_migration",18,54,"Enterobacteriaceae",0.024168122
"Global_migration",18,70,"Enterobacteriaceae",0.247530342
"Parent_migration",18,59,"Enterobacteriaceae",0.13050106
"Global_migration",18,26,"Enterobacteriaceae",0.095488257
"Global_migration",18,17,"Enterobacteriaceae",0.054313291
"Parent_migration",18,71,"Enterobacteriaceae",0.760170072
"Global_migration",18,71,"Enterobacteriaceae",0.056034105
"Parent_migration",18,31,"Enterobacteriaceae",0.218687873
"Global_migration",18,24,"Enterobacteriaceae",0.011960186
"Global_migration",18,69,"Enterobacteriaceae",0.08892941
"Parent_migration",18,80,"Enterobacteriaceae",0.728457973
"Parent_migration",18,63,"Enterobacteriaceae",0.747800042
"Parent_migration",18,1,"Enterobacteriaceae",0.486091536
"Global_migration",18,76,"Enterobacteriaceae",0.024156322
"Global_migration",18,75,"Enterobacteriaceae",0.402512356
"Global_migration",18,82,"Enterobacteriaceae",0.076451339
"Parent_migration",18,46,"Enterobacteriaceae",0.580980609
"Parent_migration",18,47,"Enterobacteriaceae",0.386174539
"Parent_migration",18,77,"Enterobacteriaceae",0.780320845
"Global_migration",18,28,"Enterobacteriaceae",0.222982278
"Parent_migration",18,62,"Enterobacteriaceae",0.220873066
"Global_migration",18,36,"Enterobacteriaceae",0.08321749
"Parent_migration",18,66,"Enterobacteriaceae",0.625702476
"Parent_migration",18,32,"Enterobacteriaceae",0.530688079
"Parent_migration",18,43,"Enterobacteriaceae",0.354619704
"Global_migration",18,78,"Enterobacteriaceae",0.105470532
"Parent_migration",18,83,"Enterobacteriaceae",0.36116299
"Global_migration",18,84,"Enterobacteriaceae",0.064943354
"Parent_migration",18,33,"Enterobacteriaceae",0.267525324
"Global_migration",18,8,"Enterobacteriaceae",0.141359263
"Parent_migration",18,90,"Enterobacteriaceae",0.249927907
"Parent_migration",18,39,"Enterobacteriaceae",0.388492086
"Global_migration",18,80,"Enterobacteriaceae",0.224196922
"Parent_migration",18,91,"Enterobacteriaceae",0.454981928
"Parent_migration",18,35,"Enterobacteriaceae",0.263130561
"Global_migration",18,48,"Enterobacteriaceae",0.291159563
"Parent_migration",18,29,"Enterobacteriaceae",0.101013171
"Parent_migration",18,52,"Enterobacteriaceae",0.08025139
"Parent_migration",18,41,"Enterobacteriaceae",0.698652416
"Global_migration",18,85,"Enterobacteriaceae",0.63786916
"Parent_migration",18,78,"Enterobacteriaceae",0.272520695
"Parent_migration",18,60,"Enterobacteriaceae",0.054670317
"Parent_migration",18,14,"Enterobacteriaceae",0.245178453
"Global_migration",18,67,"Enterobacteriaceae",0.134354333
"Global_migration",18,51,"Enterobacteriaceae",0.021820329
"Global_migration",18,15,"Enterobacteriaceae",0.02456348
"Global_migration",18,73,"Enterobacteriaceae",0.237479405
"Parent_migration",18,34,"Enterobacteriaceae",0.200057571
"Global_migration",18,91,"Enterobacteriaceae",0.489572166
"Global_migration",18,53,"Enterobacteriaceae",0.024673227
"Parent_migration",18,70,"Enterobacteriaceae",0.709917056
"Global_migration",18,23,"Enterobacteriaceae",0.351977014
"Global_migration",18,34,"Enterobacteriaceae",0.083382646
"Global_migration",18,65,"Enterobacteriaceae",0.220636353
"Global_migration",18,66,"Enterobacteriaceae",0.017302672
"Parent_migration",18,25,"Enterobacteriaceae",0.75844907
"Parent_migration",18,18,"Enterobacteriaceae",0.622473501
"Global_migration",18,58,"Enterobacteriaceae",0.274534474
"Parent_migration",18,50,"Enterobacteriaceae",0.385557915
"Parent_migration",18,45,"Enterobacteriaceae",0.44873412
"Global_migration",18,41,"Enterobacteriaceae",0.135180007
"Global_migration",18,64,"Enterobacteriaceae",0.156706914
"Global_migration",18,31,"Enterobacteriaceae",0.060568906
"Parent_migration",18,7,"Enterobacteriaceae",0.248561618
"Global_migration",18,39,"Enterobacteriaceae",0.164275307
"Global_migration",18,6,"Enterobacteriaceae",0.090095714
"Global_migration",18,68,"Enterobacteriaceae",0.013242348
"Parent_migration",18,3,"Enterobacteriaceae",0.080646877
"Global_migration",18,74,"Enterobacteriaceae",0.178049371
"Parent_migration",18,73,"Enterobacteriaceae",0.783311394
"Parent_migration",18,17,"Enterobacteriaceae",0.697552448
"Parent_migration",18,81,"Enterobacteriaceae",0.753091162
"Global_migration",18,21,"Enterobacteriaceae",0.221082191
"Global_migration",18,22,"Enterobacteriaceae",0.126483741
"Parent_migration",18,79,"Enterobacteriaceae",0.053778597
"Parent_migration",18,56,"Enterobacteriaceae",0.077669903
"Parent_migration",18,11,"Enterobacteriaceae",0.498268594
"Parent_migration",18,58,"Enterobacteriaceae",0.693462287
"Global_migration",18,5,"Enterobacteriaceae",0.059080095
"Global_migration",18,81,"Enterobacteriaceae",0.105519378
"Parent_migration",18,28,"Enterobacteriaceae",0.553824462
"Parent_migration",18,10,"Enterobacteriaceae",0.602024344
"Parent_migration",18,38,"Enterobacteriaceae",0.034177299
"Global_migration",18,63,"Enterobacteriaceae",0.507022264
"Parent_migration",18,74,"Enterobacteriaceae",0.515325774
"Parent_migration",18,23,"Enterobacteriaceae",0.107073581
"Global_migration",18,7,"Enterobacteriaceae",0.030210885
"Parent_migration",18,49,"Enterobacteriaceae",0.215293927
"Parent_migration",18,46,"Enterobacteriaceae",0.195870592
"Global_migration",18,4,"Enterobacteriaceae",0.140401515
"Parent_migration",18,8,"Enterobacteriaceae",0.026970333
"Global_migration",18,84,"Enterobacteriaceae",0.662916866
"Global_migration",18,14,"Enterobacteriaceae",0.495683514
"Global_migration",18,24,"Enterobacteriaceae",0.725477605
"Parent_migration",18,19,"Enterobacteriaceae",0.787364984
"Global_migration",18,11,"Enterobacteriaceae",0.581092037
"Global_migration",18,50,"Enterobacteriaceae",0.79390299
"Parent_migration",18,32,"Enterobacteriaceae",0.34643147
"Parent_migration",18,72,"Enterobacteriaceae",0.177026771
"Parent_migration",18,9,"Enterobacteriaceae",0.817508575
"Global_migration",18,6,"Enterobacteriaceae",0.569178233
"Global_migration",18,23,"Enterobacteriaceae",0.330729422
"Global_migration",18,42,"Enterobacteriaceae",0.696584456
"Global_migration",18,62,"Enterobacteriaceae",0.714453875
"Global_migration",18,53,"Enterobacteriaceae",0.680716698
"Global_migration",18,38,"Enterobacteriaceae",0.623285024
"Global_migration",18,10,"Enterobacteriaceae",0.606438076
"Parent_migration",18,25,"Enterobacteriaceae",0.093250832
"Parent_migration",18,6,"Enterobacteriaceae",0.407646801
"Parent_migration",18,46,"Enterobacteriaceae",0.041997388
"Parent_migration",18,41,"Enterobacteriaceae",0.062871747
"Global_migration",18,89,"Enterobacteriaceae",0.736909895
"Parent_migration",18,79,"Enterobacteriaceae",0.763417543
"Global_migration",18,45,"Enterobacteriaceae",0.67523736
"Parent_migration",18,31,"Enterobacteriaceae",0.607999064
"Global_migration",18,56,"Enterobacteriaceae",0.663528456
"Parent_migration",18,36,"Enterobacteriaceae",0.613057972
"Parent_migration",18,48,"Enterobacteriaceae",0.191591211
"Parent_migration",18,87,"Enterobacteriaceae",0.801792574
"Parent_migration",18,58,"Enterobacteriaceae",0.097217861
"Global_migration",18,12,"Enterobacteriaceae",0.602531877
"Global_migration",18,72,"Enterobacteriaceae",0.726205892
"Parent_migration",18,85,"Enterobacteriaceae",0.512661778
"Parent_migration",18,91,"Enterobacteriaceae",0.381345417
"Global_migration",18,69,"Enterobacteriaceae",0.510228035
"Global_migration",18,73,"Enterobacteriaceae",0.515744516
"Global_migration",18,29,"Enterobacteriaceae",0.636917776
"Parent_migration",18,90,"Enterobacteriaceae",0.541597578
"Global_migration",18,37,"Enterobacteriaceae",0.715474711
"Global_migration",18,66,"Enterobacteriaceae",0.757605138
"Parent_migration",18,8,"Enterobacteriaceae",0.429318659
"Global_migration",18,30,"Enterobacteriaceae",0.68640217
"Global_migration",18,21,"Enterobacteriaceae",0.495432216
"Global_migration",18,19,"Enterobacteriaceae",0.699320029
"Parent_migration",18,7,"Enterobacteriaceae",0.616462509
"Parent_migration",18,27,"Enterobacteriaceae",0.409975895
"Global_migration",18,2,"Enterobacteriaceae",0.638541046
"Global_migration",18,36,"Enterobacteriaceae",0.644509036
"Global_migration",18,81,"Enterobacteriaceae",0.541253082
"Parent_migration",18,29,"Enterobacteriaceae",0.585430598
"Parent_migration",18,54,"Enterobacteriaceae",0.194591904
"Parent_migration",18,67,"Enterobacteriaceae",0.016734912
"Parent_migration",18,4,"Enterobacteriaceae",0.492484421
"Global_migration",18,93,"Enterobacteriaceae",0.717585503
"Global_migration",18,83,"Enterobacteriaceae",0.505506676
"Parent_migration",18,37,"Enterobacteriaceae",0.213709387
"Parent_migration",18,13,"Enterobacteriaceae",0.467729084
"Parent_migration",18,14,"Enterobacteriaceae",0.583019286
"Global_migration",18,13,"Enterobacteriaceae",0.737381408
"Global_migration",18,90,"Enterobacteriaceae",0.72312315
"Parent_migration",18,68,"Enterobacteriaceae",0.16818218
"Global_migration",18,51,"Enterobacteriaceae",0.708035372
"Parent_migration",18,63,"Enterobacteriaceae",0.047285835
"Global_migration",18,32,"Enterobacteriaceae",0.7298147
"Parent_migration",18,16,"Enterobacteriaceae",0.515604094
"Global_migration",18,18,"Enterobacteriaceae",0.542561983
"Parent_migration",18,24,"Enterobacteriaceae",0.62428264
"Parent_migration",18,47,"Enterobacteriaceae",0.462183297
"Global_migration",18,25,"Enterobacteriaceae",0.796370175
"Global_migration",18,7,"Enterobacteriaceae",0.620584084
"Global_migration",18,75,"Enterobacteriaceae",0.298805601
"Global_migration",18,34,"Enterobacteriaceae",0.544515574
"Parent_migration",18,59,"Enterobacteriaceae",0.693995228
"Global_migration",18,70,"Enterobacteriaceae",0.466765453
"Global_migration",18,76,"Enterobacteriaceae",0.698323635
"Global_migration",18,77,"Enterobacteriaceae",0.67279748
"Parent_migration",18,55,"Enterobacteriaceae",0.157635824
"Parent_migration",18,33,"Enterobacteriaceae",0.502086268
"Global_migration",18,85,"Enterobacteriaceae",0.109060679
"Parent_migration",18,70,"Enterobacteriaceae",0.078978096
"Parent_migration",18,28,"Enterobacteriaceae",0.055481142
"Global_migration",18,40,"Enterobacteriaceae",0.504088078
"Parent_migration",18,77,"Enterobacteriaceae",0.032762057
"Parent_migration",18,66,"Enterobacteriaceae",0.154614277
"Global_migration",18,5,"Enterobacteriaceae",0.586637589
"Global_migration",18,79,"Enterobacteriaceae",0.695952677
"Global_migration",18,26,"Enterobacteriaceae",0.600211902
"Parent_migration",18,5,"Enterobacteriaceae",0.821293673
"Parent_migration",18,73,"Enterobacteriaceae",0.071449466
"Global_migration",18,80,"Enterobacteriaceae",0.493084804
"Parent_migration",18,86,"Enterobacteriaceae",0.840967217
"Global_migration",18,87,"Enterobacteriaceae",0.544850943
"Parent_migration",18,35,"Enterobacteriaceae",0.52352595
"Parent_migration",18,23,"Enterobacteriaceae",0.772468641
"Parent_migration",18,52,"Enterobacteriaceae",0.776528886
"Global_migration",18,82,"Enterobacteriaceae",0.645520369
"Global_migration",18,49,"Enterobacteriaceae",0.418424689
"Parent_migration",18,82,"Enterobacteriaceae",0.696018457
"Parent_migration",18,83,"Enterobacteriaceae",0.458230276
"Global_migration",18,61,"Enterobacteriaceae",0.557509839
"Global_migration",18,27,"Enterobacteriaceae",0.726157071
"Parent_migration",18,38,"Enterobacteriaceae",0.86448073
"Global_migration",18,39,"Enterobacteriaceae",0.624601783
"Parent_migration",18,62,"Enterobacteriaceae",0.615003179
"Global_migration",18,16,"Enterobacteriaceae",0.549537501
"Parent_migration",18,69,"Enterobacteriaceae",0.786627657
"Global_migration",18,88,"Enterobacteriaceae",0.741692274
"Parent_migration",18,76,"Enterobacteriaceae",0.427187766
"Parent_migration",18,81,"Enterobacteriaceae",0.051799477
"Parent_migration",18,53,"Enterobacteriaceae",0.164742975
"Global_migration",18,35,"Enterobacteriaceae",0.302816516
"Parent_migration",18,30,"Enterobacteriaceae",0.507687028
"Global_migration",18,71,"Enterobacteriaceae",0.69109703
"Global_migration",18,78,"Enterobacteriaceae",0.646179227
"Global_migration",18,43,"Enterobacteriaceae",0.423873388
"Global_migration",18,9,"Enterobacteriaceae",0.547655366
"Parent_migration",18,20,"Enterobacteriaceae",0.436759606
"Parent_migration",18,44,"Enterobacteriaceae",0.198383782
"Parent_migration",18,10,"Enterobacteriaceae",0.186065283
"Global_migration",18,52,"Enterobacteriaceae",0.708401261
"Global_migration",18,86,"Enterobacteriaceae",0.675531102
"Parent_migration",18,40,"Enterobacteriaceae",0.056719083
"Parent_migration",18,2,"Enterobacteriaceae",0.876186022
"Global_migration",18,47,"Enterobacteriaceae",0.694753158
"Parent_migration",18,64,"Enterobacteriaceae",0.576041208
"Global_migration",18,48,"Enterobacteriaceae",0.346470558
"Global_migration",18,65,"Enterobacteriaceae",0.491564221
"Parent_migration",18,60,"Enterobacteriaceae",0.816867903
"Global_migration",18,55,"Enterobacteriaceae",0.562853382
"Global_migration",18,28,"Enterobacteriaceae",0.463370584
"Parent_migration",18,42,"Enterobacteriaceae",0.464595548
"Parent_migration",18,61,"Enterobacteriaceae",0.460369556
"Parent_migration",18,43,"Enterobacteriaceae",0.475191424
"Parent_migration",18,78,"Enterobacteriaceae",0.473827301
"Global_migration",18,63,"Enterobacteriaceae",0.149045692
"Global_migration",18,68,"Enterobacteriaceae",0.681406662
"Parent_migration",18,74,"Enterobacteriaceae",0.328975208
"Global_migration",18,44,"Enterobacteriaceae",0.475973447
"Global_migration",18,91,"Enterobacteriaceae",0.25743105
"Global_migration",18,64,"Enterobacteriaceae",0.55999434
"Global_migration",18,54,"Enterobacteriaceae",0.628858847
"Parent_migration",18,88,"Enterobacteriaceae",0.89150038
"Global_migration",18,41,"Enterobacteriaceae",0.529739019
"Parent_migration",18,89,"Enterobacteriaceae",0.072864007
"Global_migration",18,3,"Enterobacteriaceae",0.704096861
"Parent_migration",18,26,"Enterobacteriaceae",0.488424418
"Parent_migration",18,49,"Enterobacteriaceae",0.093342707
