"Carbon_Source","Replicate","F","R","UN","ratioRF"
"glucose",1,0.453474348269784,0.545690694869654,0.000834956860562205,1.20335515548281
"glucose",2,0.627887559142778,0.371834121903702,0.000278318953520735,0.592198581560284
"glucose",3,0.62092958530476,0.375359495314964,0.00371091938027646,0.604512176901239
"glucose",4,0.621022358289266,0.377864365896651,0.00111327581408294,0.608455333134151
"fructose",1,0.553669171537249,0.444939233695148,0.00139159476760368,0.803619302949062
"fructose",2,0.64013359309769,0.357083217367102,0.00278318953520735,0.557826086956521
"fructose",3,0.406902310047314,0.587160218944243,0.00593747100844235,1.44300045599635
"fructose",4,0.582892661656925,0.41423137582336,0.00287596251971426,0.710647779723063
"cellobiose",1,0.746544206327117,0.2523425178588,0.00111327581408294,0.338014166770225
"cellobiose",2,0.575470822896372,0.423137582336024,0.00139159476760367,0.735289376108335
"cellobiose",3,0.623434455886446,0.372112440857223,0.00445310325633175,0.596875000000001
"cellobiose",4,0.682994711939884,0.31422209852491,0.00278318953520735,0.460065199674001
"ribose",1,0.578346785416087,0.421282122645886,0.000371091938027646,0.728424767404556
"ribose",2,0.490583542072549,0.50913813897393,0.000278318953520735,1.03782148260212
"ribose",3,0.501159662306336,0.490583542072549,0.00825679562111514,0.978896704924104
"ribose",4,0.435754708228964,0.561183783282308,0.00306150848872808,1.28784330423675
"citrate",1,0.183041098432137,0.792837925596066,0.0241209759717971,4.33147491130259
"citrate",2,0.199276370720846,0.725763057797569,0.0749605714815846,3.64199255121043
"citrate",3,0.227757676964468,0.698766119306058,0.073476203729474,3.06802443991853
"citrate",4,0.223953984599684,0.755543185824288,0.0205028295760275,3.37365368682685
"glutamine",1,0.0107616662028017,0.897949717042398,0.0912886167548011,83.4396551724139
"glutamine",2,0.00454587624083867,0.904351052973375,0.0911030707857872,198.938775510204
"glutamine",3,0.0039892383337972,0.930791353557845,0.0652194081083589,233.325581395349
"glutamine",4,0.0064013359309769,0.882363855645236,0.111234808423787,137.840579710145
