"w_ratio","rf_pair","Experiment","type","variable"
0.372223024077263,"303.176_PID_iEcSMS35_1347","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iEcolC_1368","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iZ_1308","fba","published","w[ace,R] / w[glu,F]"
0.372226951630886,"303.176_PID_iECED1_1282","fba","published","w[ace,R] / w[glu,F]"
0.377829719583536,"303.176_PID_iEC1364_W","fba","published","w[ace,R] / w[glu,F]"
0.3881089595345,"303.176_PID_iJO1366","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iLF82_1304","fba","published","w[ace,R] / w[glu,F]"
0.367576915295058,"303.176_PID_e_coli_core","fba","published","w[ace,R] / w[glu,F]"
0.401392584164533,"303.176_PID_iJR904","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iWFL_1372","fba","published","w[ace,R] / w[glu,F]"
0.388164958141122,"303.176_PID_iEcHS_1320","fba","published","w[ace,R] / w[glu,F]"
0.375117152205346,"303.176_PID_iECIAI39_1322","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECO111_1330","fba","published","w[ace,R] / w[glu,F]"
0.270954919117555,"303.176_PID_iB21_1397","fba","published","w[ace,R] / w[glu,F]"
0.38810421927996,"303.176_PID_iEC1372_W3110","fba","published","w[ace,R] / w[glu,F]"
0.388757930749193,"303.176_PID_iECIAI1_1343","fba","published","w[ace,R] / w[glu,F]"
0.375185272955194,"303.176_PID_iAPECO1_1312","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECABU_c1320","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iBWG_1329","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iE2348C_1286","fba","published","w[ace,R] / w[glu,F]"
0.437880939690489,"303.176_PID_iAF1260","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iEC042_1314","fba","published","w[ace,R] / w[glu,F]"
0.388993151915234,"303.176_PID_iYS1720","fba","published","w[ace,R] / w[glu,F]"
0.375185272955194,"303.176_PID_iECOK1_1307","fba","published","w[ace,R] / w[glu,F]"
0.406751239574698,"303.176_PID_STM_v1_0","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iETEC_1333","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iEC55989_1330","fba","published","w[ace,R] / w[glu,F]"
0.38810421927996,"303.176_PID_iEC1368_DH5a","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECB_1328","fba","published","w[ace,R] / w[glu,F]"
0.270954919117555,"303.176_PID_iECD_1391","fba","published","w[ace,R] / w[glu,F]"
0.351751104191701,"303.176_PID_iG2583_1286","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iY75_1357","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECNA114_1301","fba","published","w[ace,R] / w[glu,F]"
0.215957021051544,"303.176_PID_iECBD_1354","fba","published","w[ace,R] / w[glu,F]"
0.437880939690489,"303.176_PID_iAF1260b","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iEcE24377_1341","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECSE_1348","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECSP_1301","fba","published","w[ace,R] / w[glu,F]"
0.351751104191701,"303.176_PID_iECH74115_1262","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECSF_1327","fba","published","w[ace,R] / w[glu,F]"
0.388164958141122,"303.176_PID_iECDH1ME8569_1439","fba","published","w[ace,R] / w[glu,F]"
0.38810421927996,"303.176_PID_iEC1344_C","fba","published","w[ace,R] / w[glu,F]"
0.388164958141122,"303.176_PID_iUMNK88_1353","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iNRG857_1313","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iEKO11_1354","fba","published","w[ace,R] / w[glu,F]"
0.375185272955194,"303.176_PID_iECP_1309","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECs_1301","fba","published","w[ace,R] / w[glu,F]"
0.377031990886166,"303.176_PID_iEC1349_Crooks","fba","published","w[ace,R] / w[glu,F]"
0.37203749117562,"303.176_PID_iYL1228","fba","published","w[ace,R] / w[glu,F]"
0.464366842847866,"303.176_PID_iML1515","fba","published","w[ace,R] / w[glu,F]"
0.388164958141122,"303.176_PID_iUTI89_1310","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECO103_1326","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECO26_1355","fba","published","w[ace,R] / w[glu,F]"
0.375185272955194,"303.176_PID_iUMN146_1321","fba","published","w[ace,R] / w[glu,F]"
0.413003639900787,"303.176_PID_iSDY_1059","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iECW_1372","fba","published","w[ace,R] / w[glu,F]"
0.372223024077263,"303.176_PID_iEcDH1_1363","fba","published","w[ace,R] / w[glu,F]"
0.375185272955194,"303.176_PID_iECS88_1305","fba","published","w[ace,R] / w[glu,F]"
0.139368048219265,"303.176_PID_iEC1356_Bl21DE3","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iEcSMS35_1347","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iEcolC_1368","fba","published","w[ace,R] / w[glu,F]"
0.373264074309205,"303.429_PID_iZ_1308","fba","published","w[ace,R] / w[glu,F]"
0.373267999026602,"303.429_PID_iECED1_1282","fba","published","w[ace,R] / w[glu,F]"
0.378886448142771,"303.429_PID_iEC1364_W","fba","published","w[ace,R] / w[glu,F]"
