"ID_f","D_ace_glu","Experiment","type","variable"
"iEcSMS35_1347",0.812197302,"fba","published","D[ace,glu]"
"iEcolC_1368",0.812197302,"fba","published","D[ace,glu]"
"iZ_1308",0.812197302,"fba","published","D[ace,glu]"
"iECED1_1282",0.812185753,"fba","published","D[ace,glu]"
"iEC1364_W",0.867360758,"fba","published","D[ace,glu]"
"iJO1366",0.916424424,"fba","published","D[ace,glu]"
"iLF82_1304",0.812197302,"fba","published","D[ace,glu]"
"e_coli_core",0.684217179,"fba","published","D[ace,glu]"
"iJR904",0.927990759,"fba","published","D[ace,glu]"
"iWFL_1372",0.812197302,"fba","published","D[ace,glu]"
"iEcHS_1320",0.916577,"fba","published","D[ace,glu]"
"iECIAI39_1322",0.833924636,"fba","published","D[ace,glu]"
"iECO111_1330",0.812197302,"fba","published","D[ace,glu]"
"iB21_1397",0.04372566,"fba","published","D[ace,glu]"
"iEC1372_W3110",0.916442037,"fba","published","D[ace,glu]"
"iECIAI1_1343",0.91819003,"fba","published","D[ace,glu]"
"iAPECO1_1312",0.83380047,"fba","published","D[ace,glu]"
"iECABU_c1320",0.812197302,"fba","published","D[ace,glu]"
"iBWG_1329",0.812197302,"fba","published","D[ace,glu]"
"iE2348C_1286",0.812197302,"fba","published","D[ace,glu]"
"iAF1260",1.051197215,"fba","published","D[ace,glu]"
"iEC042_1314",0.812197302,"fba","published","D[ace,glu]"
"iYS1720",1.026113748,"fba","published","D[ace,glu]"
"iECOK1_1307",0.83380047,"fba","published","D[ace,glu]"
"STM_v1_0",1.053602835,"fba","published","D[ace,glu]"
"iETEC_1333",0.812197302,"fba","published","D[ace,glu]"
"iEC55989_1330",0.812197302,"fba","published","D[ace,glu]"
"iEC1368_DH5a",0.916442037,"fba","published","D[ace,glu]"
"iECB_1328",0.812197302,"fba","published","D[ace,glu]"
"iECD_1391",0.04372566,"fba","published","D[ace,glu]"
"iG2583_1286",0.745573021,"fba","published","D[ace,glu]"
"iY75_1357",0.812197302,"fba","published","D[ace,glu]"
"iECNA114_1301",0.812197302,"fba","published","D[ace,glu]"
"iECBD_1354",0.054861296,"fba","published","D[ace,glu]"
"iAF1260b",1.051197215,"fba","published","D[ace,glu]"
"iEcE24377_1341",0.812197302,"fba","published","D[ace,glu]"
"iECSE_1348",0.812197302,"fba","published","D[ace,glu]"
"iECSP_1301",0.812197302,"fba","published","D[ace,glu]"
"iECH74115_1262",0.745573021,"fba","published","D[ace,glu]"
"iECSF_1327",0.812197302,"fba","published","D[ace,glu]"
"iECDH1ME8569_1439",0.916577,"fba","published","D[ace,glu]"
"iEC1344_C",0.916442037,"fba","published","D[ace,glu]"
"iUMNK88_1353",0.916577,"fba","published","D[ace,glu]"
"iNRG857_1313",0.812197302,"fba","published","D[ace,glu]"
"iEKO11_1354",0.812197302,"fba","published","D[ace,glu]"
"iECP_1309",0.83380047,"fba","published","D[ace,glu]"
"iECs_1301",0.812197302,"fba","published","D[ace,glu]"
"iEC1349_Crooks",0.865030288,"fba","published","D[ace,glu]"
"iYL1228",0.955353032,"fba","published","D[ace,glu]"
"iML1515",1.091421747,"fba","published","D[ace,glu]"
"iUTI89_1310",0.916577,"fba","published","D[ace,glu]"
"iECO103_1326",0.812197302,"fba","published","D[ace,glu]"
"iECO26_1355",0.812197302,"fba","published","D[ace,glu]"
"iUMN146_1321",0.83380047,"fba","published","D[ace,glu]"
"iSDY_1059",0.980704556,"fba","published","D[ace,glu]"
"iECW_1372",0.812197302,"fba","published","D[ace,glu]"
"iEcDH1_1363",0.812197302,"fba","published","D[ace,glu]"
"iECS88_1305",0.83380047,"fba","published","D[ace,glu]"
"iEC1356_Bl21DE3",0.027254673,"fba","published","D[ace,glu]"
"g6935",0.868306294,"fba","isolates collection","D[ace,glu]"
"g6938",0.868300945,"fba","isolates collection","D[ace,glu]"
"g6936",0.868306294,"fba","isolates collection","D[ace,glu]"
"g6939",0.86944147,"fba","isolates collection","D[ace,glu]"
