"E","P","R_F","Experiment","type","variable"
"iEcSMS35_1347","303.176_PID",0.302318537,"fba","published","R/F"
"iEcolC_1368","303.176_PID",0.302318537,"fba","published","R/F"
"iZ_1308","303.176_PID",0.302318537,"fba","published","R/F"
"iECED1_1282","303.176_PID",0.302317427,"fba","published","R/F"
"iEC1364_W","303.176_PID",0.327714677,"fba","published","R/F"
"iJO1366","303.176_PID",0.355672528,"fba","published","R/F"
"iLF82_1304","303.176_PID",0.302318537,"fba","published","R/F"
"e_coli_core","303.176_PID",0.251502443,"fba","published","R/F"
"iJR904","303.176_PID",0.37248861,"fba","published","R/F"
"iWFL_1372","303.176_PID",0.302318537,"fba","published","R/F"
"iEcHS_1320","303.176_PID",0.355783071,"fba","published","R/F"
"iECIAI39_1322","303.176_PID",0.312819438,"fba","published","R/F"
"iECO111_1330","303.176_PID",0.302318537,"fba","published","R/F"
"iB21_1397","303.176_PID",0.011847683,"fba","published","R/F"
"iEC1372_W3110","303.176_PID",0.355675022,"fba","published","R/F"
"iECIAI1_1343","303.176_PID",0.356953649,"fba","published","R/F"
"iAPECO1_1312","303.176_PID",0.312829651,"fba","published","R/F"
"iECABU_c1320","303.176_PID",0.302318537,"fba","published","R/F"
"iBWG_1329","303.176_PID",0.302318537,"fba","published","R/F"
"iE2348C_1286","303.176_PID",0.302318537,"fba","published","R/F"
"iAF1260","303.176_PID",0.460299217,"fba","published","R/F"
"iEC042_1314","303.176_PID",0.302318537,"fba","published","R/F"
"iYS1720","303.176_PID",0.399151218,"fba","published","R/F"
"iECOK1_1307","303.176_PID",0.312829651,"fba","published","R/F"
"STM_v1_0","303.176_PID",0.428554264,"fba","published","R/F"
"iETEC_1333","303.176_PID",0.302318537,"fba","published","R/F"
"iEC55989_1330","303.176_PID",0.302318537,"fba","published","R/F"
"iEC1368_DH5a","303.176_PID",0.355675022,"fba","published","R/F"
"iECB_1328","303.176_PID",0.302318537,"fba","published","R/F"
"iECD_1391","303.176_PID",0.011847683,"fba","published","R/F"
"iG2583_1286","303.176_PID",0.262256139,"fba","published","R/F"
"iY75_1357","303.176_PID",0.302318537,"fba","published","R/F"
"iECNA114_1301","303.176_PID",0.302318537,"fba","published","R/F"
"iECBD_1354","303.176_PID",0.011847682,"fba","published","R/F"
"iAF1260b","303.176_PID",0.460299217,"fba","published","R/F"
"iEcE24377_1341","303.176_PID",0.302318537,"fba","published","R/F"
"iECSE_1348","303.176_PID",0.302318537,"fba","published","R/F"
"iECSP_1301","303.176_PID",0.302318537,"fba","published","R/F"
"iECH74115_1262","303.176_PID",0.262256139,"fba","published","R/F"
