"Community","ratioRF_cfu_mean","ratioRF_cfu_sem","ratioRF_16s"
"C10R2",0.0471512662340973,0.000415555546505383,0.297050148808424
"C10R7",0.107361030324265,0.000653872425235719,0.499658935567943
"C11R2",0.884130265493837,0.00336478404874786,0.675562332422732
"C11R7",0.0100225641277973,0.000189262304580996,0.116482384352834
"C12R2",0.00736005481839176,0.000162992654274247,0.195161729554155
"C12R7",0.0122340067433334,0.000209821249142714,0.217668237046715
"C1R2",0.544224533831226,0.0021537107408919,1.0031890649723
"C1R7",0.0186654027266081,0.000266201871900313,0.126280737471238
"C2R2",0.00339917875460004,0.000113409350684996,0.19353963136705
"C2R7",0.0413365229461423,0.0003910128748711,0.323998797141798
"C3R7",0.00933378940361147,0.000179692826834091,0.0995248811149992
"C4R2",0.00936139876590472,0.000179910205641454,0.602989426523047
"C4R7",0.0155672046229263,0.000240555511739684,0.805008210431814
"C6R2",0.111262473950686,0.000672730336852907,0.867091296501829
"C7R2",0.0188553082614265,0.000267359172817968,0.180134229113545
"C7R7",0.00702646246864338,0.000159279725280122,0.145350351975097
"C9R2",0.00194966695371275,8.21739745021142e-05,0.167241838505296
