"InocRep","variable","value"
"C10R1","ratioRF",1.80599872298998
"C10R2","ratioRF",0.297050148808424
"C10R3","ratioRF",0.178820375268437
"C10R4","ratioRF",0.207967033738937
"C10R5","ratioRF",0.447490093002112
"C10R6","ratioRF",0.0924223608409337
"C10R7","ratioRF",0.499658935567943
"C11R1","ratioRF",0.701625388998158
"C11R2","ratioRF",0.675562332422732
"C11R3","ratioRF",0.300502809239527
"C11R4","ratioRF",0.352542375145826
"C11R5","ratioRF",0.302877483930322
"C11R6","ratioRF",0.394847022153058
"C11R7","ratioRF",0.116482384352834
"C12R1","ratioRF",0.163535327813466
"C12R2","ratioRF",0.195161729554155
"C12R3","ratioRF",1.58039905448192
"C12R4","ratioRF",0.263142773521723
"C12R5","ratioRF",0.124840113257991
"C12R6","ratioRF",0.172846092282831
"C12R7","ratioRF",0.217668237046715
"C1R1","ratioRF",0.815441785098782
"C1R2","ratioRF",1.0031890649723
"C1R3","ratioRF",0.280430983645123
"C1R4","ratioRF",0.148941730626271
"C1R5","ratioRF",1.07210179256407
"C1R6","ratioRF",0.753889108344263
"C1R7","ratioRF",0.126280737471238
"C1R8","ratioRF",0.734516766256231
"C2R1","ratioRF",0.762112615135042
"C2R2","ratioRF",0.19353963136705
"C2R3","ratioRF",0.436065573628691
"C2R4","ratioRF",0.903463202636721
"C2R5","ratioRF",0.297815819193564
"C2R6","ratioRF",0.670727066579078
"C2R7","ratioRF",0.323998797141798
"C2R8","ratioRF",0.683001532324199
"C3R1","ratioRF",0.17253333303848
"C3R2","ratioRF",0.140892579294564
"C3R3","ratioRF",0.102005012273641
"C3R4","ratioRF",0.239289741733939
"C3R5","ratioRF",0.0623338967916911
"C3R6","ratioRF",0.121969890869893
"C3R7","ratioRF",0.0995248811149992
"C3R8","ratioRF",0.178820375268437
"C4R1","ratioRF",0.76444622924846
"C4R2","ratioRF",0.602989426523047
"C4R3","ratioRF",0.480471381081016
"C4R4","ratioRF",0.856841217001139
"C4R5","ratioRF",0.678244275348505
"C4R6","ratioRF",0.808720692921042
"C4R7","ratioRF",0.805008210431814
"C4R8","ratioRF",0.787398373868213
"C5R1","ratioRF",0.289064789771831
"C5R2","ratioRF",0.277083938003311
"C5R3","ratioRF",0.745533942747991
"C5R4","ratioRF",0.328398791003005
"C5R5","ratioRF",0.251280591839704
"C5R6","ratioRF",0.39013594702431
"C5R7","ratioRF",0.265687968213735
"C5R8","ratioRF",0.208631116169893
"C6R1","ratioRF",0.844379195841633
"C6R2","ratioRF",0.867091296501829
"C6R3","ratioRF",0.617733627080543
"C6R4","ratioRF",0.786672084118466
"C6R5","ratioRF",0.859983079733941
"C6R6","ratioRF",0.849810685102526
"C6R7","ratioRF",0.785946383989359
"C6R8","ratioRF",0.725667190521128
"C7R1","ratioRF",0.231307757045308
"C7R2","ratioRF",0.180134229113545
"C7R3","ratioRF",0.0769042374775265
"C7R4","ratioRF",0.247022121775865
"C7R5","ratioRF",0.0945979588710049
"C7R6","ratioRF",0.194187942461336
"C7R7","ratioRF",0.145350351975097
"C7R8","ratioRF",0.0779602845863872
"C8R1","ratioRF",0.137057149484984
"C8R2","ratioRF",0.0249417252470572
"C8R3","ratioRF",0.0208962152017533
"C8R4","ratioRF",0.286048551411567
"C8R5","ratioRF",0.656120525946517
"C8R6","ratioRF",0.41019884514417
"C8R7","ratioRF",0.151951794549674
"C8R8","ratioRF",0.250924609665989
"C9R1","ratioRF",0.482967960231047
"C9R2","ratioRF",0.167241838505296
"C9R3","ratioRF",0.0721775172922023
"C9R4","ratioRF",0.357098765488645
"C9R5","ratioRF",0.162305048782547
"C9R6","ratioRF",0.207303679711789
"C9R7","ratioRF",0.252706552682998
"C10R1","ratioRF_corr",0.821729418960441
"C10R2","ratioRF_corr",0.135157817707833
"C10R3","ratioRF_corr",0.0813632707471388
"C10R4","ratioRF_corr",0.0946250003512163
"C10R5","ratioRF_corr",0.203607992315961
"C10R6","ratioRF_corr",0.0420521741826248
"C10R7","ratioRF_corr",0.227344815683414
