"time_hours","variable","Genus","SangerID","value"
0,"pH","Enterobacter",327,6.985988638
0,"pH","Enterobacter",332,6.87777165
0,"pH","Enterobacter",338,6.972338269
0,"pH","Raoultella",340,7.004944103
0,"pH","Raoultella",461,7.004944103
0,"pH","Enterobacter",280,6.857808019
0,"pH","Enterobacter",344,7.000763368
0,"pH","Raoultella",345,7.002884355
0,"pH","Escherichia/Shigella",346,6.824319251
0,"pH","Raoultella",348,6.755733617
0,"pH","Serratia",458,6.933952033
0,"pH","Enterobacter",460,7.004944103
0,"pH","Raoultella",356,7.000763368
0,"pH","Raoultella",358,6.985988638
0,"pH","Klebsiella",360,6.856513528
0,"pH","Citrobacter",259,6.741614033
0,"pH","Serratia",364,6.972338269
0,"pH","Enterobacter",269,6.953037794
0,"pH","Citrobacter",270,6.874690642
0,"pH","Citrobacter",435,6.985988638
0,"pH","Enterobacter",273,6.915059278
0,"pH","Serratia",438,7.004944103
0,"pH","Citrobacter",439,7.002884355
0,"pH","Enterobacter",283,6.933952033
0,"pH","Serratia",284,6.943469461
0,"pH","Citrobacter",286,6.943469461
0,"pH","Raoultella",287,6.89168356
0,"pH","Enterobacter",440,6.991876505
0,"pH","Enterobacter",442,6.991876505
0,"pH","Enterobacter",160,6.991876505
0,"pH","Raoultella",165,6.656782624
0,"pH","Citrobacter",169,7.006945251
0,"pH","Enterobacter",276,6.985988638
0,"pH","Raoultella",277,6.841021978
0,"pH","Citrobacter",278,6.953037794
0,"pH","Raoultella",288,6.915059278
0,"pH","Citrobacter",289,6.991876505
0,"pH","Klebsiella",295,7.006945251
0,"pH","Enterobacter",303,6.964590871
0,"pH","Klebsiella",305,6.985988638
0,"pH","Enterobacter",308,6.915059278
0,"pH","Klebsiella",310,6.933952033
0,"pH","Klebsiella",311,6.824319251
0,"pH","Klebsiella",317,6.991876505
0,"pH","Enterobacter",320,6.985988638
0,"pH","Klebsiella",322,6.953037794
0,"pH","Klebsiella",448,7.004944103
16,"pH","Enterobacter",327,6.112306215
16,"pH","Enterobacter",332,5.43228445
16,"pH","Enterobacter",338,6.021600937
16,"pH","Raoultella",340,5.818615102
16,"pH","Raoultella",461,5.782564725
16,"pH","Enterobacter",280,5.982650465
16,"pH","Enterobacter",344,5.231674825
16,"pH","Raoultella",345,5.836401587
16,"pH","Escherichia/Shigella",346,5.05669664
16,"pH","Raoultella",348,5.343925702
16,"pH","Serratia",458,5.952181248
16,"pH","Enterobacter",460,5.312392737
16,"pH","Raoultella",356,5.765533415
16,"pH","Raoultella",358,5.782564725
16,"pH","Klebsiella",360,6.147215015
16,"pH","Citrobacter",259,4.542101085
16,"pH","Serratia",364,5.91469752
16,"pH","Enterobacter",269,5.854470173
16,"pH","Citrobacter",270,4.867230929
16,"pH","Citrobacter",435,4.983268484
16,"pH","Enterobacter",273,5.770577991
16,"pH","Serratia",438,5.818615102
16,"pH","Citrobacter",439,4.558795489
16,"pH","Enterobacter",283,5.09054523
16,"pH","Serratia",284,5.895514698
16,"pH","Citrobacter",286,4.558795489
16,"pH","Raoultella",287,5.818615102
16,"pH","Enterobacter",440,5.872204748
16,"pH","Enterobacter",442,5.28348553
16,"pH","Enterobacter",160,4.906420826
16,"pH","Raoultella",165,5.357652347
16,"pH","Citrobacter",169,4.803877013
16,"pH","Enterobacter",276,4.954870624
16,"pH","Raoultella",277,4.893136579
