"cs","genus","SangerID","gr_max"
"lactate","Enterobacter",160,0.132105868
"succinate","Enterobacter",160,0.106968599
"glucose","Enterobacter",160,1.034093855
"acetate","Enterobacter",160,0.303360504
"succinate","Raoultella",165,0.139710009
"glucose","Raoultella",165,0.825327962
"acetate","Raoultella",165,0.369916523
"lactate","Raoultella",165,0.55974526
"succinate","Citrobacter",169,0.171953184
"lactate","Citrobacter",169,0.252603584
"glucose","Citrobacter",169,0.883095596
"acetate","Citrobacter",169,0
"lactate","Citrobacter",259,0.365248324
"acetate","Citrobacter",259,0.156454013
"glucose","Citrobacter",259,1.19818558
"succinate","Citrobacter",259,0.346913145
"lactate","Enterobacter",269,0.214427743
"succinate","Enterobacter",269,0.30958546
"glucose","Enterobacter",269,0.65998484
"acetate","Enterobacter",269,0.12844312
"lactate","Citrobacter",270,0.432896169
"acetate","Citrobacter",270,0.178918201
"succinate","Citrobacter",270,0.36430381
"glucose","Citrobacter",270,0.936462651
"succinate","Enterobacter",273,0.185080099
"glucose","Enterobacter",273,0.544503311
"acetate","Enterobacter",273,0.149242198
"lactate","Enterobacter",273,0.260543175
"glucose","Enterobacter",276,0.953891358
"lactate","Enterobacter",276,0.264759247
"acetate","Enterobacter",276,0.105925458
"succinate","Enterobacter",276,0.187368996
"acetate","Raoultella",277,0
"succinate","Raoultella",277,0.30406754
"glucose","Raoultella",277,0.760386082
"lactate","Raoultella",277,0.457081993
"acetate","Citrobacter",278,0
"lactate","Citrobacter",278,0.318719026
"succinate","Citrobacter",278,0.327112839
"glucose","Citrobacter",278,0.943012421
"glucose","Enterobacter",280,0.592003509
"succinate","Enterobacter",280,0.250512847
"acetate","Enterobacter",280,0.100784398
"lactate","Enterobacter",280,0.341668615
"acetate","Enterobacter",283,0.335159464
"succinate","Enterobacter",283,0.174618935
"glucose","Enterobacter",283,0.813883816
"lactate","Enterobacter",283,0.193327671
"succinate","Serratia",284,0.478158134
"acetate","Serratia",284,0.281689874
"lactate","Serratia",284,0.494176941
"glucose","Serratia",284,0.317415729
"succinate","Citrobacter",286,0.243130077
"acetate","Citrobacter",286,0.172389063
"lactate","Citrobacter",286,0.217412082
"glucose","Citrobacter",286,0.76997035
"acetate","Raoultella",287,0.164726519
"lactate","Raoultella",287,0.350489984
"glucose","Raoultella",287,0.463091014
"succinate","Raoultella",287,0.20338518
"acetate","Raoultella",288,0.164325277
"lactate","Raoultella",288,0.489018553
"succinate","Raoultella",288,0.340616012
"glucose","Raoultella",288,0.773961834
"lactate","Citrobacter",289,0.29456711
"acetate","Citrobacter",289,0.336787375
"succinate","Citrobacter",289,0.315438328
"glucose","Citrobacter",289,0.794833418
"acetate","Klebsiella",295,0.21954057
"succinate","Klebsiella",295,0.31648031
"lactate","Klebsiella",295,0.506187273
"glucose","Klebsiella",295,0.659424008
"succinate","Enterobacter",303,0.252752666
"acetate","Enterobacter",303,0
"glucose","Enterobacter",303,0.747486766
"lactate","Enterobacter",303,0.448104216
"lactate","Klebsiella",305,0.413927962
"glucose","Klebsiella",305,0.712133926
