"time_hours","CommunityReplicate","acetate_mM","Glucose_perc"
0,"C10R7",0,0.2
0,"C1R8",0,0.2
0,"C2R3",0,0.2
0,"C2R8",0,0.2
0,"C4R4",0,0.2
0,"C4R6",0,0.2
0,"C4R7",0,0.2
0,"C5R3",0,0.2
0,"C6R8",0,0.2
10,"C10R7",2.088587624,0.155292463
10,"C1R8",8.186423854,0.133511868
10,"C2R3",10.18055274,0.02842411
10,"C2R8",9.645286567,0.03644854
10,"C4R4",0.251889965,0.199344945
10,"C4R6",1.637284771,0.1492332
10,"C4R7",1.144000257,0.167083462
10,"C5R3",10.52690144,0.027441527
10,"C6R8",2.308991344,0.179365752
21,"C10R7",11.78635127,0
21,"C1R8",13.89592972,0
21,"C2R3",14.85101251,0
21,"C2R8",16.20492107,0
21,"C4R4",3.253578711,0.009359521
21,"C4R6",5.615047131,0
21,"C4R7",7.451744791,0
21,"C5R3",9.970644438,0
21,"C6R8",2.917725425,0.004919733
48,"C10R7",0.293871626,0
48,"C1R8",8.438313819,0
48,"C2R3",10.64235101,0
48,"C2R8",9.55082783,0
48,"C4R4",0.325357871,0
48,"C4R6",0.440807438,0
48,"C4R7",0.02099083,0
48,"C5R3",5.037799295,0
48,"C6R8",0.608734081,0
