"Transfer","Treatment","Community","variable","value"
10,"12h incubation","A1","ab.ent",0.995061728395062
10,"12h incubation","B1","ab.ent",0.99375
10,"12h incubation","C1","ab.ent",0.991769547325103
10,"12h incubation","D1","ab.ent",1
10,"12h incubation","E1","ab.ent",0.987525987525988
10,"12h incubation","F1","ab.ent",0.974811083123426
10,"48h incubation","A1","ab.ent",0.575471698103195
10,"48h incubation","B1","ab.ent",0.527777777777778
10,"48h incubation","C1","ab.ent",0.716129032246514
10,"48h incubation","D1","ab.ent",0.72674418603992
10,"48h incubation","E1","ab.ent",0.659090909081224
10,"48h incubation","F1","ab.ent",0.485507246385082
10,"12h incubation","A1","ab.pseud",0.00493827160493827
10,"12h incubation","B1","ab.pseud",0.00625
10,"12h incubation","C1","ab.pseud",0.00823045267489712
10,"12h incubation","D1","ab.pseud",0
10,"12h incubation","E1","ab.pseud",0.0124740124740125
10,"12h incubation","F1","ab.pseud",0.0251889168765743
10,"48h incubation","A1","ab.pseud",0.424528301896805
10,"48h incubation","B1","ab.pseud",0.472222222222222
10,"48h incubation","C1","ab.pseud",0.283870967753486
10,"48h incubation","D1","ab.pseud",0.27325581396008
10,"48h incubation","E1","ab.pseud",0.340909090918776
10,"48h incubation","F1","ab.pseud",0.514492753614918
