"SangerID","variable","value"
160,"D_ace_glu_corr",0.761286385
165,"D_ace_glu_corr",0.860244458
169,"D_ace_glu_corr",0.71986022
259,"D_ace_glu_corr",0.866299975
269,"D_ace_glu_corr",0.692316173
270,"D_ace_glu_corr",0.779883319
273,"D_ace_glu_corr",0.82051462
276,"D_ace_glu_corr",0.815851716
277,"D_ace_glu_corr",0.82051462
278,"D_ace_glu_corr",0.80400285
280,"D_ace_glu_corr",0.65326887
283,"D_ace_glu_corr",0.813017634
284,"D_ace_glu_corr",0.539506866
286,"D_ace_glu_corr",0.713644325
287,"D_ace_glu_corr",0.758289642
288,"D_ace_glu_corr",0.723700537
289,"D_ace_glu_corr",0.748590587
295,"D_ace_glu_corr",0.779412093
303,"D_ace_glu_corr",0.698444632
305,"D_ace_glu_corr",0.663532056
308,"D_ace_glu_corr",0.638276151
310,"D_ace_glu_corr",0.612277425
311,"D_ace_glu_corr",0.735726265
317,"D_ace_glu_corr",0.681359754
320,"D_ace_glu_corr",0.649418462
322,"D_ace_glu_corr",0.595935368
327,"D_ace_glu_corr",0.550476013
332,"D_ace_glu_corr",0.736007172
338,"D_ace_glu_corr",0.531618326
340,"D_ace_glu_corr",0.632880511
343,"D_ace_glu_corr",0.765659461
345,"D_ace_glu_corr",0.637637794
346,"D_ace_glu_corr",0.5782553
348,"D_ace_glu_corr",0.749251778
356,"D_ace_glu_corr",0.615890211
358,"D_ace_glu_corr",0.704369324
360,"D_ace_glu_corr",0.589888416
364,"D_ace_glu_corr",0.55023273
435,"D_ace_glu_corr",0.7895163
438,"D_ace_glu_corr",0.646530657
439,"D_ace_glu_corr",0.886976414
440,"D_ace_glu_corr",0.851252259
442,"D_ace_glu_corr",0.889486884
448,"D_ace_glu_corr",0.591478444
458,"D_ace_glu_corr",0.44329374
460,"D_ace_glu_corr",0.640323929
461,"D_ace_glu_corr",0.631521287
160,"w_f_glu",0.012835906
165,"w_f_glu",0.007404231
169,"w_f_glu",0.009972057
259,"w_f_glu",0.01045678
269,"w_f_glu",0.01163522
270,"w_f_glu",0.00848959
273,"w_f_glu",0.011692396
276,"w_f_glu",0.012450311
277,"w_f_glu",0.008319039
278,"w_f_glu",0.00984517
280,"w_f_glu",0.01292167
283,"w_f_glu",0.01380789
284,"w_f_glu",0.011394709
286,"w_f_glu",0.007814022
287,"w_f_glu",0.010920526
288,"w_f_glu",0.010091481
289,"w_f_glu",0.009842781
295,"w_f_glu",0.013950829
303,"w_f_glu",0.014694111
305,"w_f_glu",0.014236707
308,"w_f_glu",0.013236135
310,"w_f_glu",0.015265866
311,"w_f_glu",0.012787557
317,"w_f_glu",0.01380789
320,"w_f_glu",0.014779874
322,"w_f_glu",0.015408805
327,"w_f_glu",0.013104718
332,"w_f_glu",0.00795882
338,"w_f_glu",0.013350486
340,"w_f_glu",0.012435678
343,"w_f_glu",0.025236042
345,"w_f_glu",0.013464837
346,"w_f_glu",0.00978813
348,"w_f_glu",0.009061348
356,"w_f_glu",0.012064037
358,"w_f_glu",0.012635792
360,"w_f_glu",0.013036021
364,"w_f_glu",0.011588126
435,"w_f_glu",0.009139444
438,"w_f_glu",0.009846601
439,"w_f_glu",0.010815618
440,"w_f_glu",0.012492853
442,"w_f_glu",0.014265294
448,"w_f_glu",0.014979989
458,"w_f_glu",0.007647005
460,"w_f_glu",0.007944758
461,"w_f_glu",0.012292739
162,"w_r_ace",0.003647059
267,"w_r_ace",0.008823529
272,"w_r_ace",0.001176471
274,"w_r_ace",0.006470588
290,"w_r_ace",0.003882353
294,"w_r_ace",0.001529412
304,"w_r_ace",0.003294118
316,"w_r_ace",0.008941176
321,"w_r_ace",0.005764706
325,"w_r_ace",0.006
326,"w_r_ace",0.004588235
350,"w_r_ace",0.006705882
428,"w_r_ace",0.005882353
432,"w_r_ace",0.006588235
441,"w_r_ace",0.007764706
444,"w_r_ace",0.003764706
449,"w_r_ace",0.004705882
462,"w_r_ace",0.006470588
