"D_ace_glu","Experiment","ID_f","type"
0.761286385,"empir_calc","160","emp"
0.860244458,"empir_calc","165","emp"
0.71986022,"empir_calc","169","emp"
0.866299975,"empir_calc","259","emp"
0.692316173,"empir_calc","269","emp"
0.779883319,"empir_calc","270","emp"
0.82051462,"empir_calc","273","emp"
0.815851716,"empir_calc","276","emp"
0.82051462,"empir_calc","277","emp"
0.80400285,"empir_calc","278","emp"
0.65326887,"empir_calc","280","emp"
0.813017634,"empir_calc","283","emp"
0.539506866,"empir_calc","284","emp"
0.713644325,"empir_calc","286","emp"
0.758289642,"empir_calc","287","emp"
0.723700537,"empir_calc","288","emp"
0.748590587,"empir_calc","289","emp"
0.779412093,"empir_calc","295","emp"
0.698444632,"empir_calc","303","emp"
0.663532056,"empir_calc","305","emp"
0.638276151,"empir_calc","308","emp"
0.612277425,"empir_calc","310","emp"
0.735726265,"empir_calc","311","emp"
0.681359754,"empir_calc","317","emp"
0.649418462,"empir_calc","320","emp"
0.595935368,"empir_calc","322","emp"
0.550476013,"empir_calc","327","emp"
0.736007172,"empir_calc","332","emp"
0.531618326,"empir_calc","338","emp"
0.632880511,"empir_calc","340","emp"
0.765659461,"empir_calc","343","emp"
0.637637794,"empir_calc","345","emp"
0.5782553,"empir_calc","346","emp"
0.749251778,"empir_calc","348","emp"
0.615890211,"empir_calc","356","emp"
0.704369324,"empir_calc","358","emp"
0.589888416,"empir_calc","360","emp"
0.55023273,"empir_calc","364","emp"
0.7895163,"empir_calc","435","emp"
0.646530657,"empir_calc","438","emp"
0.886976414,"empir_calc","439","emp"
0.851252259,"empir_calc","440","emp"
0.889486884,"empir_calc","442","emp"
0.591478444,"empir_calc","448","emp"
0.44329374,"empir_calc","458","emp"
0.640323929,"empir_calc","460","emp"
0.631521287,"empir_calc","461","emp"
0.812197302,"fba","iEcSMS35_1347","published"
0.812197302,"fba","iEcolC_1368","published"
0.812197302,"fba","iZ_1308","published"
0.812185753,"fba","iECED1_1282","published"
0.867360758,"fba","iEC1364_W","published"
0.916424424,"fba","iJO1366","published"
0.812197302,"fba","iLF82_1304","published"
0.684217179,"fba","e_coli_core","published"
0.927990759,"fba","iJR904","published"
0.812197302,"fba","iWFL_1372","published"
0.916577,"fba","iEcHS_1320","published"
0.833924636,"fba","iECIAI39_1322","published"
0.812197302,"fba","iECO111_1330","published"
0.04372566,"fba","iB21_1397","published"
0.916442037,"fba","iEC1372_W3110","published"
0.91819003,"fba","iECIAI1_1343","published"
0.83380047,"fba","iAPECO1_1312","published"
0.812197302,"fba","iECABU_c1320","published"
0.812197302,"fba","iBWG_1329","published"
0.812197302,"fba","iE2348C_1286","published"
1.051197215,"fba","iAF1260","published"
0.812197302,"fba","iEC042_1314","published"
1.026113748,"fba","iYS1720","published"
0.83380047,"fba","iECOK1_1307","published"
1.053602835,"fba","STM_v1_0","published"
0.812197302,"fba","iETEC_1333","published"
0.812197302,"fba","iEC55989_1330","published"
0.916442037,"fba","iEC1368_DH5a","published"
0.812197302,"fba","iECB_1328","published"
0.04372566,"fba","iECD_1391","published"
0.745573021,"fba","iG2583_1286","published"
0.812197302,"fba","iY75_1357","published"
0.812197302,"fba","iECNA114_1301","published"
0.054861296,"fba","iECBD_1354","published"
1.051197215,"fba","iAF1260b","published"
0.812197302,"fba","iEcE24377_1341","published"
0.812197302,"fba","iECSE_1348","published"
0.812197302,"fba","iECSP_1301","published"
0.745573021,"fba","iECH74115_1262","published"
0.812197302,"fba","iECSF_1327","published"
0.916577,"fba","iECDH1ME8569_1439","published"
0.916442037,"fba","iEC1344_C","published"
0.916577,"fba","iUMNK88_1353","published"
0.812197302,"fba","iNRG857_1313","published"
0.812197302,"fba","iEKO11_1354","published"
0.83380047,"fba","iECP_1309","published"
0.812197302,"fba","iECs_1301","published"
0.865030288,"fba","iEC1349_Crooks","published"
0.955353032,"fba","iYL1228","published"
1.091421747,"fba","iML1515","published"
0.916577,"fba","iUTI89_1310","published"
0.812197302,"fba","iECO103_1326","published"
0.812197302,"fba","iECO26_1355","published"
0.83380047,"fba","iUMN146_1321","published"
0.980704556,"fba","iSDY_1059","published"
0.812197302,"fba","iECW_1372","published"
0.812197302,"fba","iEcDH1_1363","published"
0.83380047,"fba","iECS88_1305","published"
0.027254673,"fba","iEC1356_Bl21DE3","published"
