Transfer,Replicate,Resp,Ferm,collection,rf_ratio
1,1,98,193,fall2019_jf,0.507772020725389
1,2,15,41,fall2019_jf,0.365853658536585
1,3,80,376,fall2019_jf,0.212765957446809
1,4,124,370,fall2019_jf,0.335135135135135
1,5,25,106,fall2019_jf,0.235849056603774
1,6,13,92,fall2019_jf,0.141304347826087
1,7,20,313,fall2019_jf,0.0638977635782748
1,8,60,455,fall2019_jf,0.131868131868132
1,9,74,261,fall2019_jf,0.283524904214559
1,10,12,116,fall2019_jf,0.103448275862069
1,11,61,185,fall2019_jf,0.32972972972973
1,12,5,33,fall2019_jf,0.151515151515152
1,1,16,20,spring2019_jf,0.8
1,2,16,59,spring2019_jf,0.271186440677966
1,3,24,78,spring2019_jf,0.307692307692308
1,4,19,38,spring2019_jf,0.5
1,5,17,55,spring2019_jf,0.309090909090909
1,6,21,78,spring2019_jf,0.269230769230769
1,7,16,84,spring2019_jf,0.19047619047619
1,8,27,67,spring2019_jf,0.402985074626866
1,9,25,40,spring2019_jf,0.625
1,10,22,60,spring2019_jf,0.366666666666667
1,12,17,32,spring2019_jf,0.53125
1,1,18,38,spring2019_jf,0.473684210526316
1,2,22,46,spring2019_jf,0.478260869565217
1,3,21,77,spring2019_jf,0.272727272727273
1,4,22,41,spring2019_jf,0.536585365853659
1,5,12,63,spring2019_jf,0.19047619047619
1,6,11,88,spring2019_jf,0.125
1,7,18,105,spring2019_jf,0.171428571428571
1,8,27,100,spring2019_jf,0.27
1,9,24,47,spring2019_jf,0.51063829787234
1,10,21,54,spring2019_jf,0.388888888888889
1,12,21,48,spring2019_jf,0.4375
