Transfer,Treatment,Community,rep_platting,F_cfu_ml,R_cfu_ml
10,P_incub_time,A1,1,189000000,0
10,P_incub_time,A1,2,214000000,2000000
10,P_incub_time,B1,1,163000000,0
10,P_incub_time,B1,2,155000000,2000000
10,P_incub_time,C1,1,256000000,2000000
10,P_incub_time,C1,2,226000000,2000000
10,P_incub_time,D1,1,236000000,0
10,P_incub_time,D1,2,303000000,0
10,P_incub_time,E1,1,224000000,2000000
10,P_incub_time,E1,2,251000000,4000000
10,P_incub_time,F1,1,179000000,6000000
10,P_incub_time,F1,2,208000000,4000000
10,control,A1,1,453333333.3,373333333.3
10,control,A1,2,360000000,226666666.7
10,control,B1,1,346666666.7,333333333.3
10,control,B1,2,413333333.3,346666666.7
10,control,C1,1,653333333.3,280000000
10,control,C1,2,826666666.7,306666666.7
10,control,D1,1,746666666.7,360000000
10,control,D1,2,920000000,266666666.7
10,control,E1,1,853333333.3,200000000
10,control,E1,2,693333333.3,600000000
10,control,F1,1,560000000,373333333.3
10,control,F1,2,333333333.3,573333333.3
