metabolite,value_blk,Carbon_Source,Strain,Replicate,Timepoint,value_uM,value_uM_corr
Acetic.acid,55.2,D-Glucose,Ecoli,1,28,5100,5044.8
Acetic.acid,55.2,D-Glucose,Ecoli,2,28,4400,4344.8
Acetic.acid,55.2,D-Glucose,Enterobacter,1,28,5900,5844.8
Acetic.acid,55.2,D-Glucose,Enterobacter,2,28,6130,6074.8
Acetyl.ornithine,0,D-Glucose,Ecoli,1,28,6.63,6.63
Acetyl.ornithine,0,D-Glucose,Ecoli,2,28,4.41,4.41
Acetyl.ornithine,0,D-Glucose,Enterobacter,1,28,10.3,10.3
Acetyl.ornithine,0,D-Glucose,Enterobacter,2,28,9.33,9.33
Alanine,0,D-Glucose,Ecoli,1,28,129,129
Alanine,0,D-Glucose,Ecoli,2,28,57.3,57.3
Alanine,0,D-Glucose,Enterobacter,1,28,14.4,14.4
Alanine,0,D-Glucose,Enterobacter,2,28,16.6,16.6
alpha.Aminoadipic.acid,0,D-Glucose,Ecoli,1,28,0,0
alpha.Aminoadipic.acid,0,D-Glucose,Ecoli,2,28,0,0
alpha.Aminoadipic.acid,0,D-Glucose,Enterobacter,1,28,0,0
alpha.Aminoadipic.acid,0,D-Glucose,Enterobacter,2,28,0,0
alpha.Ketoglutaric.acid,0,D-Glucose,Ecoli,1,28,0,0
alpha.Ketoglutaric.acid,0,D-Glucose,Ecoli,2,28,0,0
alpha.Ketoglutaric.acid,0,D-Glucose,Enterobacter,1,28,1.2,1.2
alpha.Ketoglutaric.acid,0,D-Glucose,Enterobacter,2,28,2.5,2.5
Arginine,0,D-Glucose,Ecoli,1,28,0,0
Arginine,0,D-Glucose,Ecoli,2,28,0,0
Arginine,0,D-Glucose,Enterobacter,1,28,0,0
Arginine,0,D-Glucose,Enterobacter,2,28,0,0
Asparagine,0.206,D-Glucose,Ecoli,1,28,0,-0.206
Asparagine,0.206,D-Glucose,Ecoli,2,28,0,-0.206
Asparagine,0.206,D-Glucose,Enterobacter,1,28,1.31,1.104
Asparagine,0.206,D-Glucose,Enterobacter,2,28,0.129,-0.077
Aspartic.acid,0,D-Glucose,Ecoli,1,28,0,0
Aspartic.acid,0,D-Glucose,Ecoli,2,28,0,0
Aspartic.acid,0,D-Glucose,Enterobacter,1,28,0,0
Aspartic.acid,0,D-Glucose,Enterobacter,2,28,0,0
Asymmetric.dimethylarginine,0,D-Glucose,Ecoli,1,28,0,0
Asymmetric.dimethylarginine,0,D-Glucose,Ecoli,2,28,0,0
Asymmetric.dimethylarginine,0,D-Glucose,Enterobacter,1,28,0,0
Asymmetric.dimethylarginine,0,D-Glucose,Enterobacter,2,28,0,0
beta.Hydroxybutyric.acid,0,D-Glucose,Ecoli,1,28,0.439,0.439
beta.Hydroxybutyric.acid,0,D-Glucose,Ecoli,2,28,0.168,0.168
beta.Hydroxybutyric.acid,0,D-Glucose,Enterobacter,1,28,0.666,0.666
beta.Hydroxybutyric.acid,0,D-Glucose,Enterobacter,2,28,0.603,0.603
Betaine,0,D-Glucose,Ecoli,1,28,0,0
Betaine,0,D-Glucose,Ecoli,2,28,0,0
Betaine,0,D-Glucose,Enterobacter,1,28,0,0
Betaine,0,D-Glucose,Enterobacter,2,28,0,0
Butyric.acid,0,D-Glucose,Ecoli,1,28,0,0
Butyric.acid,0,D-Glucose,Ecoli,2,28,0,0
Butyric.acid,0,D-Glucose,Enterobacter,1,28,0.631,0.631
Butyric.acid,0,D-Glucose,Enterobacter,2,28,0.513,0.513
C0,0,D-Glucose,Ecoli,1,28,0,0
C0,0,D-Glucose,Ecoli,2,28,0,0
C0,0,D-Glucose,Enterobacter,1,28,0,0
C0,0,D-Glucose,Enterobacter,2,28,0,0
C10,0,D-Glucose,Ecoli,1,28,0,0
C10,0,D-Glucose,Ecoli,2,28,0,0
C10,0,D-Glucose,Enterobacter,1,28,0,0
C10,0,D-Glucose,Enterobacter,2,28,0,0
C10.1,0,D-Glucose,Ecoli,1,28,0,0
C10.1,0,D-Glucose,Ecoli,2,28,0,0
C10.1,0,D-Glucose,Enterobacter,1,28,0,0
C10.1,0,D-Glucose,Enterobacter,2,28,0,0
C10.2,0,D-Glucose,Ecoli,1,28,0,0
C10.2,0,D-Glucose,Ecoli,2,28,0,0
C10.2,0,D-Glucose,Enterobacter,1,28,0,0
C10.2,0,D-Glucose,Enterobacter,2,28,0,0
C12,0,D-Glucose,Ecoli,1,28,0,0
C12,0,D-Glucose,Ecoli,2,28,0,0
C12,0,D-Glucose,Enterobacter,1,28,0,0
C12,0,D-Glucose,Enterobacter,2,28,0,0
C12.1,0,D-Glucose,Ecoli,1,28,0,0
C12.1,0,D-Glucose,Ecoli,2,28,0,0
C12.1,0,D-Glucose,Enterobacter,1,28,0,0
C12.1,0,D-Glucose,Enterobacter,2,28,0,0
C12DC,0,D-Glucose,Ecoli,1,28,0,0
C12DC,0,D-Glucose,Ecoli,2,28,0,0
C12DC,0,D-Glucose,Enterobacter,1,28,0,0
C12DC,0,D-Glucose,Enterobacter,2,28,0,0
C14,0,D-Glucose,Ecoli,1,28,0,0
C14,0,D-Glucose,Ecoli,2,28,0,0
C14,0,D-Glucose,Enterobacter,1,28,0,0
C14,0,D-Glucose,Enterobacter,2,28,0,0
C14.1,0,D-Glucose,Ecoli,1,28,0,0
C14.1,0,D-Glucose,Ecoli,2,28,0,0
C14.1,0,D-Glucose,Enterobacter,1,28,0,0
C14.1,0,D-Glucose,Enterobacter,2,28,0,0
C14.1OH,0,D-Glucose,Ecoli,1,28,0,0
C14.1OH,0,D-Glucose,Ecoli,2,28,0,0
C14.1OH,0,D-Glucose,Enterobacter,1,28,0,0
C14.1OH,0,D-Glucose,Enterobacter,2,28,0,0
C14.2,0,D-Glucose,Ecoli,1,28,0,0
C14.2,0,D-Glucose,Ecoli,2,28,0,0
C14.2,0,D-Glucose,Enterobacter,1,28,0,0
C14.2,0,D-Glucose,Enterobacter,2,28,0,0
C14.2OH,0,D-Glucose,Ecoli,1,28,0,0
C14.2OH,0,D-Glucose,Ecoli,2,28,0,0
C14.2OH,0,D-Glucose,Enterobacter,1,28,0,0
C14.2OH,0,D-Glucose,Enterobacter,2,28,0,0
C16,0,D-Glucose,Ecoli,1,28,0,0
C16,0,D-Glucose,Ecoli,2,28,0,0
C16,0,D-Glucose,Enterobacter,1,28,0,0
C16,0,D-Glucose,Enterobacter,2,28,0,0
C16.1,0,D-Glucose,Ecoli,1,28,0,0
C16.1,0,D-Glucose,Ecoli,2,28,0,0
C16.1,0,D-Glucose,Enterobacter,1,28,0,0
C16.1,0,D-Glucose,Enterobacter,2,28,0,0
C16.1OH,0,D-Glucose,Ecoli,1,28,0,0
C16.1OH,0,D-Glucose,Ecoli,2,28,0,0
C16.1OH,0,D-Glucose,Enterobacter,1,28,0,0
C16.1OH,0,D-Glucose,Enterobacter,2,28,0,0
C16.2,0,D-Glucose,Ecoli,1,28,0,0
C16.2,0,D-Glucose,Ecoli,2,28,0,0
C16.2,0,D-Glucose,Enterobacter,1,28,0,0
C16.2,0,D-Glucose,Enterobacter,2,28,0,0
C16.2OH,0,D-Glucose,Ecoli,1,28,0,0
C16.2OH,0,D-Glucose,Ecoli,2,28,0,0
C16.2OH,0,D-Glucose,Enterobacter,1,28,0,0
C16.2OH,0,D-Glucose,Enterobacter,2,28,0,0
C16OH,0,D-Glucose,Ecoli,1,28,0,0
C16OH,0,D-Glucose,Ecoli,2,28,0,0
C16OH,0,D-Glucose,Enterobacter,1,28,0,0
C16OH,0,D-Glucose,Enterobacter,2,28,0,0
C18,0,D-Glucose,Ecoli,1,28,0,0
C18,0,D-Glucose,Ecoli,2,28,0,0
C18,0,D-Glucose,Enterobacter,1,28,0,0
C18,0,D-Glucose,Enterobacter,2,28,0,0
C18.1,0,D-Glucose,Ecoli,1,28,0,0
C18.1,0,D-Glucose,Ecoli,2,28,0,0
C18.1,0,D-Glucose,Enterobacter,1,28,0,0
C18.1,0,D-Glucose,Enterobacter,2,28,0,0
C18.1OH,0,D-Glucose,Ecoli,1,28,0,0
C18.1OH,0,D-Glucose,Ecoli,2,28,0,0
C18.1OH,0,D-Glucose,Enterobacter,1,28,0,0
C18.1OH,0,D-Glucose,Enterobacter,2,28,0,0
C18.2,0,D-Glucose,Ecoli,1,28,0,0
C18.2,0,D-Glucose,Ecoli,2,28,0,0
C18.2,0,D-Glucose,Enterobacter,1,28,0,0
C18.2,0,D-Glucose,Enterobacter,2,28,0,0
C2,0,D-Glucose,Ecoli,1,28,0,0
C2,0,D-Glucose,Ecoli,2,28,0,0
C2,0,D-Glucose,Enterobacter,1,28,0,0
C2,0,D-Glucose,Enterobacter,2,28,0,0
C3,0,D-Glucose,Ecoli,1,28,0,0
C3,0,D-Glucose,Ecoli,2,28,0,0
C3,0,D-Glucose,Enterobacter,1,28,0,0
C3,0,D-Glucose,Enterobacter,2,28,0,0
C3.1,0,D-Glucose,Ecoli,1,28,0,0
C3.1,0,D-Glucose,Ecoli,2,28,0,0
C3.1,0,D-Glucose,Enterobacter,1,28,0,0
C3.1,0,D-Glucose,Enterobacter,2,28,0,0
C3OH,0,D-Glucose,Ecoli,1,28,0,0
C3OH,0,D-Glucose,Ecoli,2,28,0,0
C3OH,0,D-Glucose,Enterobacter,1,28,0,0
C3OH,0,D-Glucose,Enterobacter,2,28,0,0
C4,0,D-Glucose,Ecoli,1,28,0,0
C4,0,D-Glucose,Ecoli,2,28,0,0
C4,0,D-Glucose,Enterobacter,1,28,0,0
C4,0,D-Glucose,Enterobacter,2,28,0,0
C4.1,0,D-Glucose,Ecoli,1,28,0,0
C4.1,0,D-Glucose,Ecoli,2,28,0,0
C4.1,0,D-Glucose,Enterobacter,1,28,0,0
C4.1,0,D-Glucose,Enterobacter,2,28,0,0
C4OH,0,D-Glucose,Ecoli,1,28,0,0
C4OH,0,D-Glucose,Ecoli,2,28,0,0
C4OH,0,D-Glucose,Enterobacter,1,28,0,0
C4OH,0,D-Glucose,Enterobacter,2,28,0,0
C5,0,D-Glucose,Ecoli,1,28,0,0
C5,0,D-Glucose,Ecoli,2,28,0,0
C5,0,D-Glucose,Enterobacter,1,28,0,0
C5,0,D-Glucose,Enterobacter,2,28,0,0
C5.1,0,D-Glucose,Ecoli,1,28,0,0
C5.1,0,D-Glucose,Ecoli,2,28,0,0
C5.1,0,D-Glucose,Enterobacter,1,28,0,0
C5.1,0,D-Glucose,Enterobacter,2,28,0,0
C5.1DC,0,D-Glucose,Ecoli,1,28,0,0
C5.1DC,0,D-Glucose,Ecoli,2,28,0,0
C5.1DC,0,D-Glucose,Enterobacter,1,28,0,0
C5.1DC,0,D-Glucose,Enterobacter,2,28,0,0
C5DC,0,D-Glucose,Ecoli,1,28,0,0
C5DC,0,D-Glucose,Ecoli,2,28,0,0
C5DC,0,D-Glucose,Enterobacter,1,28,0,0
C5DC,0,D-Glucose,Enterobacter,2,28,0,0
C5MDC,0,D-Glucose,Ecoli,1,28,0,0
C5MDC,0,D-Glucose,Ecoli,2,28,0,0
C5MDC,0,D-Glucose,Enterobacter,1,28,0,0
C5MDC,0,D-Glucose,Enterobacter,2,28,0,0
C5OH,0,D-Glucose,Ecoli,1,28,0,0
C5OH,0,D-Glucose,Ecoli,2,28,0,0
C5OH,0,D-Glucose,Enterobacter,1,28,0,0
C5OH,0,D-Glucose,Enterobacter,2,28,0,0
C6,0,D-Glucose,Ecoli,1,28,0,0
C6,0,D-Glucose,Ecoli,2,28,0,0
C6,0,D-Glucose,Enterobacter,1,28,0,0
C6,0,D-Glucose,Enterobacter,2,28,0,0
C6.1,0,D-Glucose,Ecoli,1,28,0,0
C6.1,0,D-Glucose,Ecoli,2,28,0,0
C6.1,0,D-Glucose,Enterobacter,1,28,0,0
C6.1,0,D-Glucose,Enterobacter,2,28,0,0
C7DC,0,D-Glucose,Ecoli,1,28,0,0
C7DC,0,D-Glucose,Ecoli,2,28,0,0
C7DC,0,D-Glucose,Enterobacter,1,28,0,0
C7DC,0,D-Glucose,Enterobacter,2,28,0,0
C8,0,D-Glucose,Ecoli,1,28,0,0
C8,0,D-Glucose,Ecoli,2,28,0,0
C8,0,D-Glucose,Enterobacter,1,28,0,0
C8,0,D-Glucose,Enterobacter,2,28,0,0
C9,0,D-Glucose,Ecoli,1,28,0,0
C9,0,D-Glucose,Ecoli,2,28,0,0
C9,0,D-Glucose,Enterobacter,1,28,0,0
C9,0,D-Glucose,Enterobacter,2,28,0,0
Carnosine,0,D-Glucose,Ecoli,1,28,0,0
Carnosine,0,D-Glucose,Ecoli,2,28,0,0
Carnosine,0,D-Glucose,Enterobacter,1,28,0,0
Carnosine,0,D-Glucose,Enterobacter,2,28,0,0
Choline,0,D-Glucose,Ecoli,1,28,0,0
Choline,0,D-Glucose,Ecoli,2,28,0,0
Choline,0,D-Glucose,Enterobacter,1,28,0,0
Choline,0,D-Glucose,Enterobacter,2,28,0,0
cis.Hydroxyproline,0,D-Glucose,Ecoli,1,28,0,0
cis.Hydroxyproline,0,D-Glucose,Ecoli,2,28,0,0
cis.Hydroxyproline,0,D-Glucose,Enterobacter,1,28,0,0
cis.Hydroxyproline,0,D-Glucose,Enterobacter,2,28,0,0
Citric.acid,0.413,D-Glucose,Ecoli,1,28,2.86,2.447
Citric.acid,0.413,D-Glucose,Ecoli,2,28,2.59,2.177
Citric.acid,0.413,D-Glucose,Enterobacter,1,28,7.28,6.867
Citric.acid,0.413,D-Glucose,Enterobacter,2,28,7.99,7.577
Citrulline,0,D-Glucose,Ecoli,1,28,0,0
Citrulline,0,D-Glucose,Ecoli,2,28,0,0
Citrulline,0,D-Glucose,Enterobacter,1,28,0,0
Citrulline,0,D-Glucose,Enterobacter,2,28,0,0
Creatine,0,D-Glucose,Ecoli,1,28,0,0
Creatine,0,D-Glucose,Ecoli,2,28,0,0
Creatine,0,D-Glucose,Enterobacter,1,28,0,0
Creatine,0,D-Glucose,Enterobacter,2,28,0,0
Creatinine,0,D-Glucose,Ecoli,1,28,0,0
Creatinine,0,D-Glucose,Ecoli,2,28,0,0
Creatinine,0,D-Glucose,Enterobacter,1,28,0,0
Creatinine,0,D-Glucose,Enterobacter,2,28,0,0
Diacetylspermine,0,D-Glucose,Ecoli,1,28,0,0
Diacetylspermine,0,D-Glucose,Ecoli,2,28,0,0
Diacetylspermine,0,D-Glucose,Enterobacter,1,28,0,0
Diacetylspermine,0,D-Glucose,Enterobacter,2,28,0,0
DOPA,0,D-Glucose,Ecoli,1,28,0,0
DOPA,0,D-Glucose,Ecoli,2,28,0,0
DOPA,0,D-Glucose,Enterobacter,1,28,0,0
DOPA,0,D-Glucose,Enterobacter,2,28,0,0
Dopamine,0,D-Glucose,Ecoli,1,28,0,0
Dopamine,0,D-Glucose,Ecoli,2,28,0,0
Dopamine,0,D-Glucose,Enterobacter,1,28,0,0
Dopamine,0,D-Glucose,Enterobacter,2,28,0,0
Fumaric.acid,0,D-Glucose,Ecoli,1,28,35.8,35.8
Fumaric.acid,0,D-Glucose,Ecoli,2,28,34.1,34.1
Fumaric.acid,0,D-Glucose,Enterobacter,1,28,33.5,33.5
Fumaric.acid,0,D-Glucose,Enterobacter,2,28,40.6,40.6
Glucose,0,D-Glucose,Ecoli,1,28,1317,1317
Glucose,0,D-Glucose,Ecoli,2,28,3525,3525
Glucose,0,D-Glucose,Enterobacter,1,28,0,0
Glucose,0,D-Glucose,Enterobacter,2,28,0,0
Glutamic.acid,0,D-Glucose,Ecoli,1,28,0,0
Glutamic.acid,0,D-Glucose,Ecoli,2,28,0,0
Glutamic.acid,0,D-Glucose,Enterobacter,1,28,0,0
Glutamic.acid,0,D-Glucose,Enterobacter,2,28,0,0
Glutamine,0,D-Glucose,Ecoli,1,28,0,0
Glutamine,0,D-Glucose,Ecoli,2,28,0,0
Glutamine,0,D-Glucose,Enterobacter,1,28,0,0
Glutamine,0,D-Glucose,Enterobacter,2,28,0,0
Glycine,2.56,D-Glucose,Ecoli,1,28,5.98,3.42
Glycine,2.56,D-Glucose,Ecoli,2,28,4.34,1.78
Glycine,2.56,D-Glucose,Enterobacter,1,28,4.85,2.29
Glycine,2.56,D-Glucose,Enterobacter,2,28,5.62,3.06
Hippuric.acid,0,D-Glucose,Ecoli,1,28,0,0
Hippuric.acid,0,D-Glucose,Ecoli,2,28,0,0
Hippuric.acid,0,D-Glucose,Enterobacter,1,28,0,0
Hippuric.acid,0,D-Glucose,Enterobacter,2,28,0,0
Histamine,0,D-Glucose,Ecoli,1,28,0,0
Histamine,0,D-Glucose,Ecoli,2,28,0,0
Histamine,0,D-Glucose,Enterobacter,1,28,0,0
Histamine,0,D-Glucose,Enterobacter,2,28,0,0
Histidine,0,D-Glucose,Ecoli,1,28,0,0
Histidine,0,D-Glucose,Ecoli,2,28,0,0
Histidine,0,D-Glucose,Enterobacter,1,28,0,0
Histidine,0,D-Glucose,Enterobacter,2,28,0,0
Homocysteine,0,D-Glucose,Ecoli,1,28,0,0
Homocysteine,0,D-Glucose,Ecoli,2,28,0,0
Homocysteine,0,D-Glucose,Enterobacter,1,28,0,0
Homocysteine,0,D-Glucose,Enterobacter,2,28,0,0
Homovanillic.acid,0,D-Glucose,Ecoli,1,28,0,0
Homovanillic.acid,0,D-Glucose,Ecoli,2,28,0,0
Homovanillic.acid,0,D-Glucose,Enterobacter,1,28,0,0
Homovanillic.acid,0,D-Glucose,Enterobacter,2,28,0,0
HPHPA,0,D-Glucose,Ecoli,1,28,0,0
HPHPA,0,D-Glucose,Ecoli,2,28,0,0
HPHPA,0,D-Glucose,Enterobacter,1,28,0,0
HPHPA,0,D-Glucose,Enterobacter,2,28,0,0
Indole.acetic.acid,0,D-Glucose,Ecoli,1,28,0,0
Indole.acetic.acid,0,D-Glucose,Ecoli,2,28,0,0
Indole.acetic.acid,0,D-Glucose,Enterobacter,1,28,0,0
Indole.acetic.acid,0,D-Glucose,Enterobacter,2,28,0,0
Isoleucine,0,D-Glucose,Ecoli,1,28,0,0
Isoleucine,0,D-Glucose,Ecoli,2,28,0,0
Isoleucine,0,D-Glucose,Enterobacter,1,28,0,0
Isoleucine,0,D-Glucose,Enterobacter,2,28,0,0
Kynurenine,0,D-Glucose,Ecoli,1,28,0,0
Kynurenine,0,D-Glucose,Ecoli,2,28,0,0
Kynurenine,0,D-Glucose,Enterobacter,1,28,0,0
Kynurenine,0,D-Glucose,Enterobacter,2,28,0,0
Lactic.acid,0,D-Glucose,Ecoli,1,28,3030,3030
Lactic.acid,0,D-Glucose,Ecoli,2,28,1350,1350
Lactic.acid,0,D-Glucose,Enterobacter,1,28,2470,2470
Lactic.acid,0,D-Glucose,Enterobacter,2,28,2300,2300
Leucine,0,D-Glucose,Ecoli,1,28,0,0
Leucine,0,D-Glucose,Ecoli,2,28,0,0
Leucine,0,D-Glucose,Enterobacter,1,28,0,0
Leucine,0,D-Glucose,Enterobacter,2,28,0,0
Lysine,0,D-Glucose,Ecoli,1,28,0,0
Lysine,0,D-Glucose,Ecoli,2,28,0,0
Lysine,0,D-Glucose,Enterobacter,1,28,0,0
Lysine,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC14.0,0,D-Glucose,Ecoli,1,28,0,0
LYSOC14.0,0,D-Glucose,Ecoli,2,28,0,0
LYSOC14.0,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC14.0,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC16.0,0,D-Glucose,Ecoli,1,28,0,0
LYSOC16.0,0,D-Glucose,Ecoli,2,28,0,0
LYSOC16.0,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC16.0,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC16.1,0,D-Glucose,Ecoli,1,28,0,0
LYSOC16.1,0,D-Glucose,Ecoli,2,28,0,0
LYSOC16.1,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC16.1,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC17.0,0,D-Glucose,Ecoli,1,28,0,0
LYSOC17.0,0,D-Glucose,Ecoli,2,28,0,0
LYSOC17.0,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC17.0,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC18.0,0,D-Glucose,Ecoli,1,28,0,0
LYSOC18.0,0,D-Glucose,Ecoli,2,28,0,0
LYSOC18.0,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC18.0,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC18.1,0,D-Glucose,Ecoli,1,28,0,0
LYSOC18.1,0,D-Glucose,Ecoli,2,28,0,0
LYSOC18.1,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC18.1,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC18.2,0,D-Glucose,Ecoli,1,28,0,0
LYSOC18.2,0,D-Glucose,Ecoli,2,28,0,0
LYSOC18.2,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC18.2,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC20.3,0,D-Glucose,Ecoli,1,28,0,0
