Transfer,repb,Klebp,Pseudomonas,Alcaligenes,dila_ord,dilp_ord,freqA,freqP
3,1,1.68E+09,0,0,-,-,0,0
3,2,1.60E+09,0,0,-,-,0,0
3,1,1.42E+09,77500000,0,-,-1,0,0.047619048
3,2,1272500000,8.50E+07,0,-,-1,0,0.047619048
3,1,1567500000,7.50E+07,0,-,-2,0,0.004975124
3,2,1.48E+09,57500000,0,-,-2,0,0.004975124
3,1,1.45E+09,72500000,0,-,-3,0,0.00049975
3,2,1487500000,7.50E+07,0,-,-3,0,0.00049975
3,1,1592500000,6.50E+07,0,-,-4,0,5.00E-05
3,2,1.40E+09,1.15E+08,0,-,-4,0,5.00E-05
3,1,1.60E+09,152500000,0,-,0,0,0.333333333
3,2,1.23E+09,7.50E+07,0,-,0,0,0.333333333
3,1,2.10E+08,0,707500000,-1,-,0.047619048,0
3,2,3.95E+08,0,6.15E+08,-1,-,0.047619048,0
3,1,2.05E+08,0,6.80E+08,-1,-1,0.045454545,0.045454545
3,2,402500000,0,557500000,-1,-1,0.045454545,0.045454545
3,1,132500000,0,667500000,-1,-2,0.047393365,0.004739336
3,2,2.15E+08,0,8.30E+08,-1,-2,0.047393365,0.004739336
3,1,192500000,0,8.05E+08,-1,-3,0.047596383,0.000475964
3,2,247500000,0,9.75E+08,-1,-3,0.047596383,0.000475964
3,1,1.60E+08,0,8.70E+08,-1,-4,0.04761678,4.76E-05
3,2,2.25E+08,0,872500000,-1,-4,0.04761678,4.76E-05
3,1,1632500000,142500000,5.00E+06,-1,0,0.032258065,0.322580645
3,2,1012500000,132500000,0,-1,0,0.032258065,0.322580645
3,1,4.85E+08,0,352500000,-2,-,0.004975124,0
3,2,7.00E+08,0,4.30E+08,-2,-,0.004975124,0
3,1,8.45E+08,7.50E+07,1.60E+08,-2,-1,0.004739336,0.047393365
3,2,1122500000,87500000,2500000,-2,-1,0.004739336,0.047393365
3,1,5.20E+08,0,472500000,-2,-2,0.004950495,0.004950495
3,2,7.15E+08,0,6.45E+08,-2,-2,0.004950495,0.004950495
3,1,4.80E+08,0,397500000,-2,-3,0.00497265,0.000497265
3,2,207500000,0,742500000,-2,-3,0.00497265,0.000497265
3,1,1.95E+08,0,672500000,-2,-4,0.004974877,4.97E-05
3,2,2.60E+08,0,7.95E+08,-2,-4,0.004974877,4.97E-05
3,1,1612500000,1.50E+08,0,-2,0,0.003322259,0.332225914
3,2,1.04E+09,9.00E+07,0,-2,0,0.003322259,0.332225914
3,1,667500000,0,4.65E+08,-3,-,0.00049975,0
3,2,1.00E+09,0,2.70E+08,-3,-,0.00049975,0
3,1,1067500000,97500000,0,-3,-1,0.000475964,0.047596383
3,2,1037500000,5.50E+07,0,-3,-1,0.000475964,0.047596383
3,1,9.90E+08,9.50E+07,47500000,-3,-2,0.000497265,0.00497265
3,2,1.23E+09,92500000,2500000,-3,-2,0.000497265,0.00497265
3,1,912500000,5.50E+07,3.00E+08,-3,-3,0.0004995,0.0004995
3,2,897500000,2.50E+07,207500000,-3,-3,0.0004995,0.0004995
3,1,822500000,32500000,4.00E+08,-3,-4,0.000499725,5.00E-05
3,2,832500000,37500000,4.30E+08,-3,-4,0.000499725,5.00E-05
3,1,1637500000,1.80E+08,0,-3,0,0.000333222,0.333222259
