SangerID_f,Family_f,w_f_glu,D_ace_glu_corr,SangerID_r,Family_r,w_r_ace,ratioRF
160,Enterobacteriaceae,0.012835906,0.761286385,162,Pseudomonadaceae,0.003647059,0.216303872
165,Enterobacteriaceae,0.007404231,0.860244458,162,Pseudomonadaceae,0.003647059,0.423725591
169,Enterobacteriaceae,0.009972057,0.71986022,162,Pseudomonadaceae,0.003647059,0.263272907
259,Enterobacteriaceae,0.01045678,0.866299975,162,Pseudomonadaceae,0.003647059,0.302143405
269,Enterobacteriaceae,0.01163522,0.692316173,162,Pseudomonadaceae,0.003647059,0.217006449
270,Enterobacteriaceae,0.00848959,0.779883319,162,Pseudomonadaceae,0.003647059,0.335031539
273,Enterobacteriaceae,0.011692396,0.82051462,162,Pseudomonadaceae,0.003647059,0.255932589
276,Enterobacteriaceae,0.012450311,0.815851716,162,Pseudomonadaceae,0.003647059,0.238986739
277,Enterobacteriaceae,0.008319039,0.82051462,162,Pseudomonadaceae,0.003647059,0.359712813
278,Enterobacteriaceae,0.00984517,0.80400285,162,Pseudomonadaceae,0.003647059,0.29783597
280,Enterobacteriaceae,0.01292167,0.65326887,162,Pseudomonadaceae,0.003647059,0.184380972
283,Enterobacteriaceae,0.01380789,0.813017634,162,Pseudomonadaceae,0.003647059,0.214741216
284,Enterobacteriaceae,0.011394709,0.539506866,162,Pseudomonadaceae,0.003647059,0.172677803
286,Enterobacteriaceae,0.007814022,0.713644325,162,Pseudomonadaceae,0.003647059,0.333081057
287,Enterobacteriaceae,0.010920526,0.758289642,162,Pseudomonadaceae,0.003647059,0.253241182
288,Enterobacteriaceae,0.010091481,0.723700537,162,Pseudomonadaceae,0.003647059,0.261545205
289,Enterobacteriaceae,0.009842781,0.748590587,162,Pseudomonadaceae,0.003647059,0.277376279
295,Enterobacteriaceae,0.013950829,0.779412093,162,Pseudomonadaceae,0.003647059,0.203755758
303,Enterobacteriaceae,0.014694111,0.698444632,162,Pseudomonadaceae,0.003647059,0.173353031
305,Enterobacteriaceae,0.014236707,0.663532056,162,Pseudomonadaceae,0.003647059,0.169978949
308,Enterobacteriaceae,0.013236135,0.638276151,162,Pseudomonadaceae,0.003647059,0.175869367
310,Enterobacteriaceae,0.015265866,0.612277425,162,Pseudomonadaceae,0.003647059,0.146274817
311,Enterobacteriaceae,0.012787557,0.735726265,162,Pseudomonadaceae,0.003647059,0.209831862
317,Enterobacteriaceae,0.01380789,0.681359754,162,Pseudomonadaceae,0.003647059,0.179966603
320,Enterobacteriaceae,0.014779874,0.649418462,162,Pseudomonadaceae,0.003647059,0.160249492
322,Enterobacteriaceae,0.015408805,0.595935368,162,Pseudomonadaceae,0.003647059,0.14104996
327,Enterobacteriaceae,0.013104718,0.550476013,162,Pseudomonadaceae,0.003647059,0.153198136
332,Enterobacteriaceae,0.00795882,0.736007172,162,Pseudomonadaceae,0.003647059,0.33726876
338,Enterobacteriaceae,0.013350486,0.531618326,162,Pseudomonadaceae,0.003647059,0.145226421
340,Enterobacteriaceae,0.012435678,0.632880511,162,Pseudomonadaceae,0.003647059,0.185607294
343,Aeromonadaceae,0.025236042,0.765659461,162,Pseudomonadaceae,0.003647059,0.110651466
345,Enterobacteriaceae,0.013464837,0.637637794,162,Pseudomonadaceae,0.003647059,0.172709297
346,Enterobacteriaceae,0.00978813,0.5782553,162,Pseudomonadaceae,0.003647059,0.215458025
348,Enterobacteriaceae,0.009061348,0.749251778,162,Pseudomonadaceae,0.003647059,0.301562776
356,Enterobacteriaceae,0.012064037,0.615890211,162,Pseudomonadaceae,0.003647059,0.186188744
358,Enterobacteriaceae,0.012635792,0.704369324,162,Pseudomonadaceae,0.003647059,0.203301573
360,Enterobacteriaceae,0.013036021,0.589888416,162,Pseudomonadaceae,0.003647059,0.165031786
364,Enterobacteriaceae,0.011588126,0.55023273,162,Pseudomonadaceae,0.003647059,0.173171329
435,Enterobacteriaceae,0.009139444,0.7895163,162,Pseudomonadaceae,0.003647059,0.315053328
438,Enterobacteriaceae,0.009846601,0.646530657,162,Pseudomonadaceae,0.003647059,0.239466933
439,Enterobacteriaceae,0.010815618,0.886976414,162,Pseudomonadaceae,0.003647059,0.299091116
440,Enterobacteriaceae,0.012492853,0.851252259,162,Pseudomonadaceae,0.003647059,0.24850745
442,Enterobacteriaceae,0.014265294,0.889486884,162,Pseudomonadaceae,0.003647059,0.227405821
448,Enterobacteriaceae,0.014979989,0.591478444,162,Pseudomonadaceae,0.003647059,0.144002558
458,Enterobacteriaceae,0.007647005,0.44329374,162,Pseudomonadaceae,0.003647059,0.211418505
460,Enterobacteriaceae,0.007944758,0.640323929,162,Pseudomonadaceae,0.003647059,0.293942113
461,Enterobacteriaceae,0.012292739,0.631521287,162,Pseudomonadaceae,0.003647059,0.187362258
160,Enterobacteriaceae,0.012835906,0.761286385,267,Pseudomonadaceae,0.008823529,0.52331582
165,Enterobacteriaceae,0.007404231,0.860244458,267,Pseudomonadaceae,0.008823529,1.025142559
169,Enterobacteriaceae,0.009972057,0.71986022,267,Pseudomonadaceae,0.008823529,0.636950582
259,Enterobacteriaceae,0.01045678,0.866299975,267,Pseudomonadaceae,0.008823529,0.730992108
269,Enterobacteriaceae,0.01163522,0.692316173,267,Pseudomonadaceae,0.008823529,0.525015602
270,Enterobacteriaceae,0.00848959,0.779883319,267,Pseudomonadaceae,0.008823529,0.810560174
273,Enterobacteriaceae,0.011692396,0.82051462,267,Pseudomonadaceae,0.008823529,0.619191747
276,Enterobacteriaceae,0.012450311,0.815851716,267,Pseudomonadaceae,0.008823529,0.578193723
277,Enterobacteriaceae,0.008319039,0.82051462,267,Pseudomonadaceae,0.008823529,0.870272935
278,Enterobacteriaceae,0.00984517,0.80400285,267,Pseudomonadaceae,0.008823529,0.720570894
280,Enterobacteriaceae,0.01292167,0.65326887,267,Pseudomonadaceae,0.008823529,0.446082997
283,Enterobacteriaceae,0.01380789,0.813017634,267,Pseudomonadaceae,0.008823529,0.5195352
284,Enterobacteriaceae,0.011394709,0.539506866,267,Pseudomonadaceae,0.008823529,0.417768878
