E,P,E_Genus,P_Species,D_ace_glu,w_ac_R,w_glc_F,R_F
iEcSMS35_1347,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
iEcolC_1368,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
iZ_1308,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
iECED1_1282,303.176_PID,Escherichia,P.Putida,0.812185753,0.026856686,0.072151374,0.302317427
iEC1364_W,303.176_PID,Escherichia,P.Putida,0.867360758,0.02688393,0.071153561,0.327714677
iJO1366,303.176_PID,Escherichia,P.Putida,0.916424424,0.026909473,0.069334841,0.355672528
iLF82_1304,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
e_coli_core,303.176_PID,Escherichia,P.Putida,0.684217179,0.026785915,0.072871592,0.251502443
iJR904,303.176_PID,Escherichia,P.Putida,0.927990759,0.026923009,0.067074007,0.37248861
iWFL_1372,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
iEcHS_1320,303.176_PID,Escherichia,P.Putida,0.916577,0.026909566,0.069325078,0.355783071
iECIAI39_1322,303.176_PID,Escherichia,P.Putida,0.833924636,0.026868481,0.071626906,0.312819438
iECO111_1330,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
iB21_1397,303.176_PID,Escherichia,P.Putida,0.04372566,0.020336716,0.075055718,0.011847683
iEC1372_W3110,303.176_PID,Escherichia,P.Putida,0.916442037,0.026909475,0.069335693,0.355675022
iECIAI1_1343,303.176_PID,Escherichia,P.Putida,0.91819003,0.026910549,0.069221865,0.356953649
iAPECO1_1312,303.176_PID,Escherichia,P.Putida,0.83380047,0.026868493,0.071613933,0.312829651
iECABU_c1320,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
iBWG_1329,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
iE2348C_1286,303.176_PID,Escherichia,P.Putida,0.812197302,0.026856687,0.072152138,0.302318537
