time_hours,CommunityReplicate,acetate_mM,Glucose_perc,mean.ratioRF,sd.ratioRF,sem.ratioRF
0,C10R7,0,0.2,0.051758757,0.006317056,0.000199763
0,C1R8,0,0.2,0.011678884,0.001967471,6.22E-05
0,C2R3,0,0.2,0.001119043,0.000645284,2.04E-05
0,C2R8,0,0.2,0.004381984,0.001258539,3.98E-05
0,C4R4,0,0.2,0.035918043,0.004201057,0.000132849
0,C4R6,0,0.2,0.0320507,0.002810026,8.89E-05
0,C4R7,0,0.2,0.012306469,0.001588391,5.02E-05
0,C5R3,0,0.2,0.004639685,0.000829826,2.62E-05
0,C6R8,0,0.2,0.040742308,0.003348263,0.000105881
10,C10R7,2.088587624,0.155292463,0.024639044,0.002042569,6.46E-05
10,C1R8,8.186423854,0.133511868,0,0,0
10,C2R3,10.18055274,0.02842411,0,0,0
10,C2R8,9.645286567,0.03644854,0,0,0
10,C4R4,0.251889965,0.199344945,0.027985304,0.005406388,0.000170965
10,C4R6,1.637284771,0.1492332,0.024354399,0.002995767,9.47E-05
10,C4R7,1.144000257,0.167083462,0.000805223,0.000477642,1.51E-05
10,C5R3,10.52690144,0.027441527,0.004552326,0.000835696,2.64E-05
10,C6R8,2.308991344,0.179365752,0.001969721,0.001134203,3.59E-05
21,C10R7,11.78635127,0,0.033999175,0.005980676,0.000189126
21,C1R8,13.89592972,0,0.001847385,0.001083187,3.43E-05
21,C2R3,14.85101251,0,0.003026085,0.001350312,4.27E-05
21,C2R8,16.20492107,0,0.012028229,0.003840223,0.000121439
21,C4R4,3.253578711,0.009359521,0.010254186,0.005319822,0.000168228
21,C4R6,5.615047131,0,0.040555721,0.007021823,0.00022205
21,C4R7,7.451744791,0,0.003233499,0.001504727,4.76E-05
21,C5R3,9.970644438,0,0.006405714,0.001777079,5.62E-05
21,C6R8,2.917725425,0.004919733,0.004221286,0.003109532,9.83E-05
48,C10R7,0.293871626,0,0.082249052,0.011431957,0.00036151
48,C1R8,8.438313819,0,0.014043782,0.001877976,5.94E-05
48,C2R3,10.64235101,0,0.005159792,0.003057542,9.67E-05
48,C2R8,9.55082783,0,0.008079362,0.001633328,5.17E-05
48,C4R4,0.325357871,0,0.094896962,0.006125088,0.000193692
48,C4R6,0.440807438,0,0.039595211,0.008763006,0.000277111
48,C4R7,0.02099083,0,0.046435103,0.008220321,0.000259949
48,C5R3,5.037799295,0,0.025472941,0.005400207,0.00017077
48,C6R8,0.608734081,0,0.121359795,0.007689623,0.000243167
