time_hours,CommunityReplicate,rep,fermenter,respirer
0,C10R7,1,1126666.667,66666.66667
0,C10R7,2,1.00E+06,50000
0,C10R7,3,1306666.667,66666.66667
0,C10R7,4,1193333.333,56666.66667
0,C1R8,1,1802500,25000
0,C1R8,2,1905000,12500
0,C1R8,3,1952500,17500
0,C1R8,4,1877500,32500
0,C2R3,1,2223333.333,3333.333333
0,C2R3,2,2116666.667,3333.333333
0,C2R3,3,2180000,0
0,C2R3,4,2216666.667,3333.333333
0,C2R8,1,2056666.667,13333.33333
0,C2R8,2,2250000,10000
0,C2R8,3,2383333.333,6666.666667
0,C2R8,4,2366666.667,10000
0,C4R4,1,1460000,60000
0,C4R4,2,1840000,47500
0,C4R4,4,2010000,82500
0,C4R6,1,2495000,82500
0,C4R6,2,2600000,62500
0,C4R6,3,2705000,80000
0,C4R6,4,2507500,105000
0,C4R7,1,3285000,65000
0,C4R7,2,3230000,22500
0,C4R7,3,2135000,17500
0,C4R7,4,3360000,42500
0,C5R3,1,4312500,25000
0,C5R3,2,4125000,15000
0,C5R3,3,4425000,17500
0,C5R3,4,4322500,22500
0,C6R6,1,1260000,12500
0,C6R6,2,1340000,7500
0,C6R6,3,1317500,17500
0,C6R6,4,1280000,15000
0,C6R8,1,2425000,90000
0,C6R8,2,2282500,1.00E+05
0,C6R8,3,2330000,120000
0,C6R8,4,2367500,72500
10,C10R7,1,268285714.3,6857142.857
10,C10R7,2,2.72E+08,4857142.857
10,C10R7,3,2.84E+08,7714285.714
10,C10R7,4,306285714.3,8571428.571
10,C10R7,5,286857142.9,6.00E+06
10,C10R7,6,281142857.1,7714285.714
10,C1R8,1,158571428.6,0
10,C1R8,2,177714285.7,0
10,C1R8,3,163142857.1,0
10,C1R8,4,174571428.6,0
10,C1R8,5,176285714.3,0
10,C1R8,6,159142857.1,0
10,C2R3,1,352857142.9,0
10,C2R3,3,4.08E+08,0
10,C2R3,5,412285714.3,0
10,C2R8,1,173142857.1,0
10,C2R8,2,182857142.9,0
10,C2R8,3,184571428.6,0
10,C2R8,4,165714285.7,0
10,C2R8,5,148571428.6,0
10,C2R8,6,1.70E+08,0
10,C4R4,1,44571428.57,1428571.429
10,C4R4,2,43142857.14,2857142.857
10,C4R4,3,55428571.43,857142.8571
10,C4R4,4,49142857.14,1142857.143
10,C4R4,5,5.00E+07,571428.5714
10,C4R4,6,54571428.57,1428571.429
10,C4R6,1,120571428.6,3142857.143
10,C4R6,2,1.38E+08,2571428.571
10,C4R6,3,1.26E+08,3714285.714
10,C4R6,4,125428571.4,2.00E+06
10,C4R6,5,1.38E+08,2857142.857
10,C4R6,6,130285714.3,4571428.571
10,C4R7,1,320571428.6,571428.5714
10,C4R7,2,355428571.4,285714.2857
10,C4R7,4,374571428.6,0
10,C5R3,1,645142857.1,2.00E+06
10,C5R3,2,576857142.9,4285714.286
10,C5R3,5,653714285.7,2285714.286
10,C6R6,1,67142857.14,0
10,C6R6,2,70285714.29,571428.5714
10,C6R6,3,67714285.71,857142.8571
10,C6R6,4,66571428.57,571428.5714
10,C6R6,5,70571428.57,857142.8571
10,C6R6,6,6.60E+07,0
10,C6R8,1,99142857.14,0
10,C6R8,2,103714285.7,0
10,C6R8,3,114285714.3,571428.5714
10,C6R8,4,109428571.4,285714.2857
21,C10R7,1,4.66E+08,1.00E+07
21,C10R7,2,4.70E+08,1.60E+07
21,C10R7,3,5.56E+08,1.80E+07
21,C10R7,4,5.06E+08,2.40E+07
21,C1R8,1,8.36E+08,0
21,C1R8,2,8.06E+08,0
21,C1R8,3,8.56E+08,2.00E+06
21,C1R8,4,7.66E+08,4.00E+06
21,C2R3,1,7.78E+08,0
21,C2R3,2,8.50E+08,4.00E+06
21,C2R3,3,8.20E+08,0
21,C2R3,4,8.42E+08,6.00E+06
21,C2R8,1,4.72E+08,6.00E+06
21,C2R8,2,4.52E+08,6.00E+06
21,C2R8,3,4.64E+08,4.00E+06
21,C2R8,4,4.36E+08,6.00E+06
21,C4R4,1,1.78E+08,2.00E+06
21,C4R4,2,2.04E+08,2.00E+06
21,C4R4,3,1.90E+08,0
21,C4R4,4,2.02E+08,4.00E+06
21,C4R6,1,4.16E+08,2.00E+07
21,C4R6,2,4.90E+08,1.80E+07
21,C4R6,3,4.62E+08,1.60E+07
21,C4R6,4,4.54E+08,2.00E+07
21,C4R7,1,6.96E+08,4.00E+06
21,C4R7,2,7.54E+08,2.00E+06
21,C4R7,3,8.22E+08,2.00E+06
21,C4R7,4,7.70E+08,2.00E+06
21,C5R3,1,1.03E+09,4.00E+06
21,C5R3,2,1.03E+09,1.20E+07
21,C5R3,3,9.60E+08,8.00E+06
21,C5R3,4,1.01E+09,2.00E+06
21,C6R6,1,1.44E+08,0
21,C6R6,2,1.94E+08,8.00E+06
21,C6R6,3,1.64E+08,8.00E+06
21,C6R6,4,1.72E+08,6.00E+06
21,C6R8,1,2.22E+08,2.00E+06
21,C6R8,2,2.06E+08,2.00E+06
21,C6R8,3,2.24E+08,0
21,C6R8,4,2.82E+08,0
48,C10R7,1,6.96E+08,6.00E+07
48,C10R7,2,6.88E+08,3.20E+07
48,C10R7,3,7.32E+08,6.80E+07
48,C10R7,4,7.12E+08,7.20E+07
48,C1R8,1,2437500000,4.00E+07
48,C1R8,2,2487500000,32500000
48,C1R8,3,2.61E+09,37500000
48,C1R8,4,2.47E+09,3.00E+07
48,C2R3,1,9.20E+08,13333333.33
48,C2R3,2,1006666667,0
48,C2R3,3,906666666.7,6666666.667
48,C2R3,4,9.60E+08,0
48,C2R8,1,1.74E+09,5.00E+06
48,C2R8,2,2.02E+09,12500000
48,C2R8,3,1837500000,2.00E+07
48,C2R8,4,1837500000,22500000
48,C4R4,1,1.70E+09,152500000
48,C4R4,2,1.70E+09,167500000
48,C4R4,3,1777500000,162500000
48,C4R4,4,1662500000,1.65E+08
48,C4R6,1,5.32E+08,0
48,C4R6,2,4.44E+08,1.20E+07
48,C4R6,3,6.32E+08,6.00E+07
48,C4R6,4,6.04E+08,1.60E+07
48,C4R7,1,1146666667,53333333.33
48,C4R7,2,1.30E+09,53333333.33
48,C4R7,3,1186666667,53333333.33
48,C4R7,4,1086666667,6.00E+07
48,C5R3,1,1406666667,4.00E+07
48,C5R3,2,1513333333,4.00E+07
48,C5R3,3,1846666667,33333333.33
48,C5R3,4,1533333333,46666666.67
48,C6R6,1,1.13E+09,12500000
48,C6R6,2,1177500000,2500000
48,C6R6,3,1.15E+09,7500000
48,C6R6,4,1167500000,17500000
48,C6R8,2,1917500000,207500000
48,C6R8,3,2.02E+09,2.50E+08
48,C6R8,4,2077500000,2.70E+08
