"SangerID","cs","gr_max","gr_sem","genus","family","CommunityReplicate","ChromoType"
160,"lactate",0.132105868,0.006443186,"Enterobacter","Enterobacteriaceae","C2R4","B"
160,"succinate",0.106968599,0.013706038,"Enterobacter","Enterobacteriaceae","C2R4","B"
160,"glucose",1.034093855,0.066886955,"Enterobacter","Enterobacteriaceae","C2R4","B"
160,"acetate",0.303360504,0.066463729,"Enterobacter","Enterobacteriaceae","C2R4","B"
165,"succinate",0.139710009,0.012139549,"Raoultella","Enterobacteriaceae","C2R4","B"
165,"glucose",0.825327962,0.04890687,"Raoultella","Enterobacteriaceae","C2R4","B"
165,"acetate",0.369916523,0.001519238,"Raoultella","Enterobacteriaceae","C2R4","B"
165,"lactate",0.55974526,0.075769268,"Raoultella","Enterobacteriaceae","C2R4","B"
169,"succinate",0.171953184,0.030429899,"Citrobacter","Enterobacteriaceae","C2R4","B"
169,"lactate",0.252603584,0.053621243,"Citrobacter","Enterobacteriaceae","C2R4","B"
169,"glucose",0.883095596,0.000798197,"Citrobacter","Enterobacteriaceae","C2R4","B"
169,"acetate",0,0,"Citrobacter","Enterobacteriaceae","C2R4","B"
259,"lactate",0.365248324,0.031830893,"Citrobacter","Enterobacteriaceae","C1R2","B"
259,"acetate",0.156454013,0.022793616,"Citrobacter","Enterobacteriaceae","C1R2","B"
259,"glucose",1.19818558,0.041645303,"Citrobacter","Enterobacteriaceae","C1R2","B"
259,"succinate",0.346913145,0.010703048,"Citrobacter","Enterobacteriaceae","C1R2","B"
267,"acetate",0.311733074,0.002927884,"Pseudomonas","Pseudomonadaceae","C1R4","W"
267,"glucose",0.681387066,0.093979912,"Pseudomonas","Pseudomonadaceae","C1R4","W"
267,"lactate",0.665692724,0.066994049,"Pseudomonas","Pseudomonadaceae","C1R4","W"
267,"succinate",0.808287673,0.111349468,"Pseudomonas","Pseudomonadaceae","C1R4","W"
269,"lactate",0.214427743,0.011967686,"Enterobacter","Enterobacteriaceae","C1R4","B"
269,"succinate",0.30958546,0.038540045,"Enterobacter","Enterobacteriaceae","C1R4","B"
269,"glucose",0.65998484,0.026360742,"Enterobacter","Enterobacteriaceae","C1R4","B"
269,"acetate",0.12844312,0.000652427,"Enterobacter","Enterobacteriaceae","C1R4","B"
270,"lactate",0.432896169,0.020215698,"Citrobacter","Enterobacteriaceae","C1R4","B"
270,"acetate",0.178918201,0.008861467,"Citrobacter","Enterobacteriaceae","C1R4","B"
270,"succinate",0.36430381,0.048132019,"Citrobacter","Enterobacteriaceae","C1R4","B"
270,"glucose",0.936462651,0.009119516,"Citrobacter","Enterobacteriaceae","C1R4","B"
272,"acetate",0.23865306,0.032975582,"Pseudomonas","Pseudomonadaceae","C1R6","W"
272,"glucose",0.250700647,0.073946405,"Pseudomonas","Pseudomonadaceae","C1R6","W"
272,"lactate",0.475561944,0.071994752,"Pseudomonas","Pseudomonadaceae","C1R6","W"
272,"succinate",0.573233669,0.059070942,"Pseudomonas","Pseudomonadaceae","C1R6","W"
273,"succinate",0.185080099,0.011424702,"Enterobacter","Enterobacteriaceae","C1R6","B"
273,"glucose",0.544503311,0.060808134,"Enterobacter","Enterobacteriaceae","C1R6","B"
273,"acetate",0.149242198,4.15e-05,"Enterobacter","Enterobacteriaceae","C1R6","B"
273,"lactate",0.260543175,0.045657465,"Enterobacter","Enterobacteriaceae","C1R6","B"
274,"lactate",0.80500595,0.06235283,"Pseudomonas","Pseudomonadaceae","C1R6","W"
274,"acetate",0.17933414,0.042809974,"Pseudomonas","Pseudomonadaceae","C1R6","W"
274,"succinate",0.332867786,0.01708331,"Pseudomonas","Pseudomonadaceae","C1R6","W"
274,"glucose",0.360285844,0.00832187,"Pseudomonas","Pseudomonadaceae","C1R6","W"
276,"glucose",0.953891358,0.072628953,"Enterobacter","Enterobacteriaceae","C2R6","B"
276,"lactate",0.264759247,0.030895525,"Enterobacter","Enterobacteriaceae","C2R6","B"
276,"acetate",0.105925458,0.015629311,"Enterobacter","Enterobacteriaceae","C2R6","B"
276,"succinate",0.187368996,0.005930941,"Enterobacter","Enterobacteriaceae","C2R6","B"
277,"acetate",0,0,"Raoultella","Enterobacteriaceae","C2R6","B"
277,"succinate",0.30406754,0.02014841,"Raoultella","Enterobacteriaceae","C2R6","B"
277,"glucose",0.760386082,0.016242318,"Raoultella","Enterobacteriaceae","C2R6","B"
277,"lactate",0.457081993,0.03732588,"Raoultella","Enterobacteriaceae","C2R6","B"
278,"acetate",0,0,"Citrobacter","Enterobacteriaceae","C2R6","B"
278,"lactate",0.318719026,0.10744575,"Citrobacter","Enterobacteriaceae","C2R6","B"
278,"succinate",0.327112839,0.036366585,"Citrobacter","Enterobacteriaceae","C2R6","B"
278,"glucose",0.943012421,0.095440197,"Citrobacter","Enterobacteriaceae","C2R6","B"
280,"glucose",0.592003509,0.01805107,"Enterobacter","Enterobacteriaceae","C11R2","B"
280,"succinate",0.250512847,0.028765829,"Enterobacter","Enterobacteriaceae","C11R2","B"
280,"acetate",0.100784398,0.003295837,"Enterobacter","Enterobacteriaceae","C11R2","B"
280,"lactate",0.341668615,0.109831569,"Enterobacter","Enterobacteriaceae","C11R2","B"
283,"acetate",0.335159464,0.047595822,"Enterobacter","Enterobacteriaceae","C1R7","B"
283,"succinate",0.174618935,0.009773023,"Enterobacter","Enterobacteriaceae","C1R7","B"
283,"glucose",0.813883816,0.091074199,"Enterobacter","Enterobacteriaceae","C1R7","B"
283,"lactate",0.193327671,0.02136733,"Enterobacter","Enterobacteriaceae","C1R7","B"
284,"succinate",0.478158134,0.054237908,"Serratia","Enterobacteriaceae","C1R7","B"
284,"acetate",0.281689874,0.011570295,"Serratia","Enterobacteriaceae","C1R7","B"
284,"lactate",0.494176941,0.099170274,"Serratia","Enterobacteriaceae","C1R7","B"
284,"glucose",0.317415729,0.060321346,"Serratia","Enterobacteriaceae","C1R7","B"
286,"succinate",0.243130077,0.092845042,"Citrobacter","Enterobacteriaceae","C1R7","B"
286,"acetate",0.172389063,0.00354233,"Citrobacter","Enterobacteriaceae","C1R7","B"
286,"lactate",0.217412082,0.022204282,"Citrobacter","Enterobacteriaceae","C1R7","B"
286,"glucose",0.76997035,0.005417569,"Citrobacter","Enterobacteriaceae","C1R7","B"
287,"acetate",0.164726519,0.009727317,"Raoultella","Enterobacteriaceae","C1R7","B"
287,"lactate",0.350489984,0.023485697,"Raoultella","Enterobacteriaceae","C1R7","B"
287,"glucose",0.463091014,0.053968823,"Raoultella","Enterobacteriaceae","C1R7","B"
287,"succinate",0.20338518,0.127118948,"Raoultella","Enterobacteriaceae","C1R7","B"
288,"acetate",0.164325277,0.002199125,"Raoultella","Enterobacteriaceae","C2R8","B"
288,"lactate",0.489018553,0.050397805,"Raoultella","Enterobacteriaceae","C2R8","B"
288,"succinate",0.340616012,0.038279798,"Raoultella","Enterobacteriaceae","C2R8","B"
288,"glucose",0.773961834,0.010284173,"Raoultella","Enterobacteriaceae","C2R8","B"
289,"lactate",0.29456711,0.006773804,"Citrobacter","Enterobacteriaceae","C2R8","B"
289,"acetate",0.336787375,0.010426934,"Citrobacter","Enterobacteriaceae","C2R8","B"
289,"succinate",0.315438328,0.057177683,"Citrobacter","Enterobacteriaceae","C2R8","B"
289,"glucose",0.794833418,0.009689929,"Citrobacter","Enterobacteriaceae","C2R8","B"
290,"acetate",0.143653003,0.020548785,"Pseudomonas","Pseudomonadaceae","C2R8","W"
290,"succinate",0.183726337,0.0037551,"Pseudomonas","Pseudomonadaceae","C2R8","W"
290,"glucose",0.237917088,0.134689347,"Pseudomonas","Pseudomonadaceae","C2R8","W"
290,"lactate",0.327036817,0.036719364,"Pseudomonas","Pseudomonadaceae","C2R8","W"
294,"acetate",0.366792718,0.001612399,"Pseudomonas","Pseudomonadaceae","C4R1","W"
294,"lactate",0.224358973,0.023496365,"Pseudomonas","Pseudomonadaceae","C4R1","W"
294,"glucose",0.44967647,0.061145504,"Pseudomonas","Pseudomonadaceae","C4R1","W"
