"InocRep","F","R","ratioRF"
"C10R1",0.35637935,0.643620651,1.80599872298998
"C10R2",0.770980213,0.229019787,0.297050148808424
"C10R3",0.848305663,0.151694337,0.178820375268437
"C10R4",0.827837162,0.172162839,0.207967033738937
"C10R5",0.688651353,0.308164658,0.447490093002112
"C10R6",0.915396861,0.084603139,0.0924223608409337
"C10R7",0.666818286,0.333181715,0.499658935567943
"C11R1",0.587673413,0.412326587,0.701625388998158
"C11R2",0.596543097,0.403002046,0.675562332422732
"C11R3",0.768933364,0.231066636,0.300502809239527
"C11R4",0.738003183,0.260177395,0.352542375145826
"C11R5",0.766659086,0.232203775,0.302877483930322
"C11R6",0.706163292,0.278826473,0.394847022153058
"C11R7",0.884466682,0.103024788,0.116482384352834
"C12R1",0.859449624,0.140550376,0.163535327813466
"C12R2",0.836706845,0.163293155,0.195161729554155
"C12R3",0.387536958,0.612463042,1.58039905448192
"C12R4",0.791676143,0.208323856,0.263142773521723
"C12R5",0.889015238,0.110984763,0.124840113257991
"C12R6",0.852626791,0.147373209,0.172846092282831
"C12R7",0.821241755,0.178758245,0.217668237046715
"C1R1",0.550830111,0.449169889,0.815441785098782
"C1R2",0.499204003,0.500795997,1.0031890649723
"C1R3",0.780987037,0.219012963,0.280430983645123
"C1R4",0.870366159,0.129633842,0.148941730626271
"C1R5",0.482601774,0.517398227,1.07210179256407
"C1R6",0.570161475,0.429838526,0.753889108344263
"C1R7",0.887878098,0.112121901,0.126280737471238
"C1R8",0.576529451,0.423470548,0.734516766256231
"C2R1",0.52103707,0.397088924,0.762112615135042
"C2R2",0.837843985,0.162156016,0.19353963136705
"C2R3",0.693654765,0.302478963,0.436065573628691
"C2R4",0.525358199,0.474641801,0.903463202636721
"C2R5",0.770525359,0.229474641,0.297815819193564
"C2R6",0.597452809,0.40072777,0.670727066579078
"C2R7",0.755287696,0.244712305,0.323998797141798
"C2R8",0.594041392,0.405731181,0.683001532324199
"C3R1",0.852854219,0.147145781,0.17253333303848
"C3R2",0.876506709,0.123493291,0.140892579294564
"C3R3",0.907436889,0.092563111,0.102005012273641
"C3R4",0.806913805,0.193086196,0.239289741733939
"C3R5",0.94132363,0.05867637,0.0623338967916911
"C3R6",0.891289516,0.108710485,0.121969890869893
"C3R7",0.909483739,0.090516261,0.0995248811149992
"C3R8",0.848305663,0.151694337,0.178820375268437
"C4R1",0.566750057,0.433249944,0.76444622924846
"C4R2",0.623834433,0.376165567,0.602989426523047
"C4R3",0.675460541,0.324539459,0.480471381081016
"C4R4",0.538549011,0.46145099,0.856841217001139
"C4R5",0.595860814,0.404139186,0.678244275348505
"C4R6",0.552876961,0.447123039,0.808720692921042
"C4R7",0.554014101,0.4459859,0.805008210431814
"C4R8",0.559472367,0.440527632,0.787398373868213
"C5R1",0.775756197,0.224243802,0.289064789771831
"C5R2",0.783033887,0.216966113,0.277083938003311
"C5R3",0.572890607,0.427109393,0.745533942747991
"C5R4",0.75278599,0.247214009,0.328398791003005
"C5R5",0.79918126,0.20081874,0.251280591839704
"C5R6",0.719354105,0.280645895,0.39013594702431
"C5R7",0.790084148,0.209915852,0.265687968213735
"C5R8",0.827382306,0.172617694,0.208631116169893
"C6R1",0.542187855,0.457812145,0.844379195841633
"C6R2",0.535592449,0.464407551,0.867091296501829
"C6R3",0.618148738,0.381851262,0.617733627080543
"C6R4",0.559699796,0.440300205,0.786672084118466
"C6R5",0.5376393,0.462360701,0.859983079733941
"C6R6",0.540595861,0.459404139,0.849810685102526
"C6R7",0.559927224,0.440072777,0.785946383989359
"C6R8",0.579486013,0.420513987,0.725667190521128
"C7R1",0.812144644,0.187855356,0.231307757045308
"C7R2",0.847168524,0.152604049,0.180134229113545
"C7R3",0.928587674,0.071412327,0.0769042374775265
"C7R4",0.801910394,0.198089607,0.247022121775865
"C7R5",0.913577439,0.086422561,0.0945979588710049
"C7R6",0.837389129,0.162610872,0.194187942461336
"C7R7",0.873095292,0.126904708,0.145350351975097
"C7R8",0.927677963,0.072322038,0.0779602845863872
"C8R1",0.879463271,0.120536729,0.137057149484984
"C8R2",0.975665226,0.024334774,0.0249417252470572
"C8R3",0.979531499,0.020468501,0.0208962152017533
"C8R4",0.777575621,0.22242438,0.286048551411567
"C8R5",0.603820788,0.396179213,0.656120525946517
"C8R6",0.709119856,0.290880146,0.41019884514417
"C8R7",0.86809188,0.131908119,0.151951794549674
"C8R8",0.799408688,0.200591313,0.250924609665989
"C9R1",0.674323402,0.325676598,0.482967960231047
"C9R2",0.856720491,0.14327951,0.167241838505296
"C9R3",0.932681374,0.067318626,0.0721775172922023
"C9R4",0.736866045,0.263133955,0.357098765488645
"C9R5",0.860359336,0.139640664,0.162305048782547
"C9R6",0.828292017,0.171707983,0.207303679711789
"C9R7",0.798271548,0.201728451,0.252706552682998
